split,event_id_cnty,event_date,year,country,notes,clean_notes,note_hash,duplicate_group_id
dev,DEU543,2020-02-07,2020,Germany,"On 7 February 2020, between 400 and 700 people, including labour unions, local governance and church representatives, protested in Dusseldorf against the coalition of the AfD, the FDP and the CSU following the election of a FDP candidate as the Minister-President of Thuringia. Protesters accused the Landtag of election fraud.",400 700 people including labour union local governance church representative protested dusseldorf coalition afd fdp csu following election fdp candidate minister president thuringia protester accused landtag election fraud,e2a36bb81a2646e8da526bd84a757f5b58f589ab8781d29126e57c76e28c6580,note-e2a36bb81a2646e8
dev,ITA559,2020-02-08,2020,Italy,"On 8 February 2020, 30 ALIUD activists took part in a march in the centre of Torino to remember the foibe massacres and demand better acknowledgement of the historical sequence from public authorities. In sign of protest, 50 activists from a left-wing autonomous social centre simultaneously staged a bike ride through the city, calling for 'kicking out fascists from the district'. The presence of police forces reportedly prevented any form of interaction or violence.",30 aliud activist took part march centre torino remember foibe massacre demand better acknowledgement historical sequence public authority sign protest 50 activist left wing autonomous social centre simultaneously staged bike ride city calling kicking fascist district presence police force reportedly prevented form interaction violence,8199cd2cbe433d9c20be78176a3264e2d7f1ffde5c30e59ab3d8af2213487091,note-8199cd2cbe433d9c
dev,MDA486,2020-02-10,2020,Moldova,"On 10 February 2020, a protest was held by war veterans outside the Foreign Affairs Ministry of Moldova. The protesters demanded the resignation of the Foreign Minister over a statement on the 1992 war.",protest held war veteran outside foreign affair ministry moldova protester demanded resignation foreign minister statement 1992 war,cfe1f9a05fcfa94eea2c3524aeb5c985d5947985215ff5dd1d0c33c067103371,note-cfe1f9a05fcfa94e
dev,DEU727,2020-02-18,2020,Germany,"Around 18 February 2020, people and theater workers protested in Oberhausen against the closure of the musical theater.",2020 people theater worker protested oberhausen closure musical theater,76f84e77b0771c55f541be0948a48604a7d81136e203e9e4dffe880cf9ed067b,note-76f84e77b0771c55
dev,MNE449,2020-03-01,2020,Montenegro,"On 1 March 2020, protesters marched through Pluzine, Montenegro, against the new Religious Freedom Law. The Serbian Orthodox Church feels unfairly targeted by this law.",protester marched pluzine montenegro new religious freedom law serbian orthodox church feel unfairly targeted law,ec0f870cd0d68d6653a7fc3c94313680498de7b1a923a6d393d59afd77f871e8,note-ec0f870cd0d68d66
dev,ESP395,2020-03-08,2020,Spain,"On 8 March 2020, around 3000 citizens marched in Ponferrada to protest gender violence and inequality on International Women's Day.",around 3000 citizen marched ponferrada protest gender violence inequality international woman day,a11101bb937e1e515bccd1027dba61764316df8de134ac50153fee4c0d12ae3e,note-a11101bb937e1e51
dev,DEU1148,2020-04-17,2020,Germany,"On 17 April 2020, more than 60 people protested in Bremen for the immediate closure of a refugee accommodation.",60 people protested bremen immediate closure refugee accommodation,3099b2cb5f40146ae46d77e7d73a592dead814a9ceaa8872eb457937771f8750,note-3099b2cb5f40146a
dev,DEU1188,2020-04-24,2020,Germany,"On 24 April 2020, Fridays for Future supporters protested in Oranienburg for more climate action.",friday future supporter protested oranienburg climate action,638d370addc5a148cde5eca7f202c3aeed3b8af06b34fbc226bb2429c31b9998,note-638d370addc5a148
dev,ITA1755,2020-05-29,2020,Italy,"On 29 May 2020, around a hundred trainee doctors gathered in front of the Region Headquarters in Torino to protest against access to medical specialisations. Their main complaint was that the current system doesn't let all the graduated students to specialise.",around hundred trainee doctor gathered front region headquarters torino protest access medical specialisation main complaint current system let graduated student specialise,ed7c7f671472d5213d8b407b54e3a4deab98e974d85a1b5c4466b203ffa78888,note-ed7c7f671472d521
dev,ESP1056,2020-06-22,2020,Spain,"On 22 June 2020, workers of the forest fire prevention and extinction service protested in Santiago de Compostela (A Coruna) demanding a new labor collective agreement. Protesters complained about the lack of staff and the increase in overtime working hours. Representatives of General Union of Workers (UGT), Workers Commissions (CCOO), Galician Inter-Union Confederation (CIG) and Public Official's Independent Trade Union (CSIF) organized the protest",worker forest fire prevention extinction service protested santiago de compostela coruna demanding new labor collective agreement protester complained lack staff increase overtime working hour representative general union worker ugt worker commission ccoo galician inter union confederation cig public official independent trade union csif organized protest,f4f1b098030789e3f78decbd102b2d22c6d31e76f30f1401405b2fef86fc41aa,note-f4f1b098030789e3
dev,DNK256,2020-06-30,2020,Denmark,"On 30 June 2020, nearly 50 homeless and socially disadvantaged people as well as shelter volunteers demonstrated against the firing of a shelter's department head in Esbjerg.",nearly 50 homeless socially disadvantaged people well shelter volunteer demonstrated firing shelter department head esbjerg,085fdcff35ba5abe06ad9486b76a6d373b6b9efd0bd2afabfc35799fc9b190a9,note-085fdcff35ba5abe
dev,FRA2778,2020-07-23,2020,France,"On 23 July 2020, dozens of people gathered in front of the city hall in Paris. They protested for the resignation of the deputy head of the Culture.",dozen people gathered front city hall paris protested resignation deputy head culture,b6a602d8141f122076b1a677e147ef8c823e6407bbbb5e2d218e9852be731d8e,note-b6a602d8141f1220
dev,DEU2737,2020-07-31,2020,Germany,"On 31 July 2020, Fridays for Future activists protested in Ravensburg for more climate action.",friday future activist protested ravensburg climate action,4d824682ea2bf67911b42f87e63ac7309a3ea7ff21ca79a96e4ef4368093f143,note-4d824682ea2bf679
dev,ITA3230,2020-08-07,2020,Italy,"On 7 August 2020, employees of a company that provides customer services at the Milano Linate airport staged a protest at the facility, located in Segrate (Milano, Lombardia). Protesters displayed banners against air company Alitalia's decision to reduce the customer service provider's activities in that airport, putting at risk many jobs.",employee company provides customer service milano linate airport staged protest facility located segrate milano lombardia protester displayed banner air company alitalia decision reduce customer service provider activity airport putting risk many job,b04ce94e6adc50c994b3ee3e2366064a4c3bc512436e688f98a3718afb88b6ad,note-b04ce94e6adc50c9
dev,CYP474,2020-08-13,2020,Cyprus,"On 13 August 2020, business owners based on a main road in Limassol protested against road works in their area and particularly the construction of a road dividing island holding spades and driving tractors.",business owner based main road limassol protested road work area particularly construction road dividing island holding spade driving tractor,2bf2a7d7b472ca7f5c5ef86865a9176174002eeb85669d241e4947aa5443b321,note-2bf2a7d7b472ca7f
dev,DEU2940,2020-08-22,2020,Germany,"On 22 August 2020, around 100 people protested in Stade for an Afghan refugee who was shot dead by a police officer during a police operation one year ago, demanding an investigation into the death.",around 100 people protested stade afghan refugee shot dead police officer police operation one year ago demanding investigation death,9e255c00348219d727da41c3e92f80a44de4b8f7f45623449dbd865e0a6a7ee4,note-9e255c00348219d7
dev,DEU3020,2020-08-30,2020,Germany,"On 30 August 2020, between 1,000 and 3,000 activists, including Extinction Rebellion, All Villages Stay and Fridays for Future activists, protested in Garzweiler at the open pit mine against the destruction of villages surrounding the pit mine. While some protesters staged protests, a group of protesters climbed an excavator. The police and private security forces of the energy company RWE ended the blockade using force and detained eight activists.",1 000 3 000 activist including extinction rebellion village stay friday future activist protested garzweiler open pit mine destruction village surrounding pit mine protester staged protest group protester climbed excavator police private security force energy company rwe ended blockade using force detained eight activist,4a89e75ce7957bc6a5406f8a120354953ed9667eef366b0ac32bd593839ad634,note-4a89e75ce7957bc6
dev,FRA3037,2020-09-14,2020,France,"On 14 September 2020, around 30 former employees of Frank et Pignard demonstrated in front of the factory in Thyez. They denounced the redundancy plan of the company.",around 30 former employee frank et pignard demonstrated front factory thyez denounced redundancy plan company,e2735aaa4d3724304bd2b371e88b9e808e5d04108311d6ec61477504bb71db41,note-e2735aaa4d372430
dev,ESP1758,2020-09-14,2020,Spain,"On 14 September 2020, a group of local residents gathered in Galleguillos (Salamanca) to protest against the establishment of a composting plant close to town.",group local resident gathered galleguillos salamanca protest establishment composting plant close town,976ddabe49ef08cbd85d8e6e334df90a971d6ebcaaa9505fb6e1a0a39364a28d,note-976ddabe49ef08cb
dev,AUT270,2020-10-03,2020,Austria,"On 3 October 2020, several thousand people protested in Vienna - Inner City (Wien), at Karlsplatz, for the reception of refugees and the rights of refugees. The protest was organized by the Platform for Human Rights and attended, amongst others, by Grannies Against the Right.",several thousand people protested vienna inner city wien karlsplatz reception refugee right refugee protest organized platform human right attended amongst others granny right,8ea1979e6620e6c263473355e47e1570a39f78fa6ed1a12c1c4bac4e7b4fa4bf,note-8ea1979e6620e6c2
dev,FRA3442,2020-10-12,2020,France,"On 12 October 2020, police officers demonstrated in front of the police station in Beziers, at the call of the SGP union. They denounced the riot against the police station of Champigny-sur-Marne days before and denounced the violence and threats that they experience.",police officer demonstrated front police station beziers call sgp union denounced riot police station champigny sur marne day denounced violence threat experience,a9d0101239c3455d0da7c2cf93b39824618a7b59d3538fb237c3e4245fcce6b4,note-a9d0101239c3455d
dev,ESP2687,2020-11-14,2020,Spain,"On 14 November 2020, between 70-80 citizens gathered in Palma de Mallorca to protest against Establiments quarries' reopening.",70 80 citizen gathered palma de mallorca protest establiments quarry reopening,c8649b07a6e5707b9c3cb84a94161346c2f7d6579cd430a14dc547d4d7570db9,note-c8649b07a6e5707b
dev,FRA4674,2020-11-28,2020,France,"On 28 November 2020, around 500 people demonstrated in Bourg-en-Bresse against a national security bill that they condemned as a violation of freedom of information, protesters' rights, and media rights, as well as the implementation of global surveillance of citizens.",around 500 people demonstrated bourg en bresse national security bill condemned violation freedom information protester right medium right well implementation global surveillance citizen,d7be2798935e07ee7a4555611bb7e36a7538afc477cde9192ade7ce6ef09003b,note-d7be2798935e07ee
dev,GBR2295,2020-12-03,2020,United Kingdom,"On 3 December 2020, hundreds of staff from the Newry, Mourne and Down District Council went on strike and picketed against pay conditions outside council offices in Newry. They were represented by the unions Unite the Union, GMB, Nipsa and SIPTU.",hundred staff newry mourne district council went strike picketed pay condition outside council office newry represented union unite union gmb nipsa siptu,92b9cb0bff250cd668ee75f0ff39187fbe0375af8bde551e3b863d86f24ada6c,note-92b9cb0bff250cd6
dev,ESP3029,2020-12-04,2020,Spain,"On 4 December 2020, shellfishers traveled in a protest caravan in Ferrol (A Coruna), demanding solutions to their 'difficult' labor situation due to the shortage of products.",shellfishers traveled protest caravan ferrol coruna demanding solution difficult labor situation due shortage product,d42fe5459a944501facd0b827d42712ccac3e66e7386d6bcb02edaef3e750a38,note-d42fe5459a944501
dev,ITA5671,2020-12-23,2020,Italy,"On 23 December 2020, health workers gathered outside the Local Health Authority (ASL 5) in La Spezia to demand the hiring of more personnel and a better management.",health worker gathered outside local health authority asl 5 la spezia demand hiring personnel better management,36f38a0750c73a60285c54db0b4a088fe2d4beacc29c9aa0c64577b7eb68937d,note-36f38a0750c73a60
dev,ESP3367,2020-12-26,2020,Spain,"On 26 December 2020, around 400 citizens, called by the Duranguesado Air Quality Platform, marched from Durango until Iurreta (Bizkaia) to protest over the low air quality.",around 400 citizen called duranguesado air quality platform marched durango iurreta bizkaia protest low air quality,4d417c73537220c58f7c39a2fb3b9c6556eef48128c157910c1514d4046f7a84,note-4d417c73537220c5
dev,GRC2453,2021-01-19,2021,Greece,"Around 19 January 2021 (from 17 January - 19 January), at least 20 anarchists including Male Comrades/Female Comrades and SAEKM protested in 15 locations in central and wider Thessaloniki, unfurling banners, scattering fliers, and shouting slogans, to express their solidarity with Dimitris Koufodinas, a convicted hitman of the now defunct group November 17, who was on hunger strike since 8 January over his transfer from a rural, low-security prison, to a higher security prison.",2021 17 january 19 january least 20 anarchist including male comrade female comrade saekm protested 15 location central wider thessaloniki unfurling banner scattering flier shouting slogan express solidarity dimitris koufodinas convicted hitman defunct group november 17 hunger strike since 8 january transfer rural low security prison higher security prison,0f911b877614016aecab81a778c9b0c7a42464a7716fc66c2b0a8318cfaf05ac,note-0f911b877614016a
dev,BIH639,2021-02-09,2021,Bosnia and Herzegovina,"On 9 February 2021, police officers protested in Banja Luka, Bosnia and Herzegovina, demanding better retirement conditions.",police officer protested banja luka bosnia herzegovina demanding better retirement condition,58bf82dc7a1bc98d5e067f6548e046d66f0ca9bb9ed32e69889159398b0c3827,note-58bf82dc7a1bc98d
dev,BEL1054,2021-03-09,2021,Belgium,"On 9 March 2021, an unknown number of shopkeepers staged a protest near the Justitiepaleis in Brussels - Ville de Bruxelles against the new prohibition on parking on the hill leading to the Palace of Justice in the Marolles neighborhood, fearing this will lead to less customers.",unknown number shopkeeper staged protest near justitiepaleis brussels ville de bruxelles new prohibition parking hill leading palace justice marolles neighborhood fearing lead less customer,ab14f66aa2cf4deffe60ebd865be92c2e2073e4a55aaf62ec6c29c6a166d8d2b,note-ab14f66aa2cf4def
dev,POL2293,2021-03-19,2021,Poland,"On 19 March 2021, activists affiliated with the FFF movement gathered for a picket in Nowy Sacz, demanding better protection of the climate.",activist affiliated fff movement gathered picket nowy sacz demanding better protection climate,dfcc75087a205526d2e2918ce66b07cacd22488de1e20be20560943151b009a1,note-dfcc75087a205526
dev,ITA7731,2021-03-28,2021,Italy,"On 28 March 2021, Extinction Rebellion activists gathered outside the stock exchange in Milano - Municipio 1 and staged a flash mob to protest against the climate crisis and demand a finance that tackles the climate emergency.",extinction rebellion activist gathered outside stock exchange milano municipio 1 staged flash mob protest climate crisis demand finance tackle climate emergency,9bf7ee499b070069a4072932055853112b3ac206da344acccf64fb987fbc0f46,note-9bf7ee499b070069
dev,POL2375,2021-04-01,2021,Poland,"On 1 April 2021, activists affiliated with the KOD movement gathered for a rally in Gdynia, protesting against alleged harmful pressure of the government over courts.",activist affiliated kod movement gathered rally gdynia protesting alleged harmful pressure government court,0002320c221367621a914603010f183e1338b22008ebb9c9ca7322b6f1fbaf01,note-0002320c22136762
dev,DEU6165,2021-04-18,2021,Germany,"On 18 April 2021, around 70 members of the NPD protested in Dresden for an Antifa ban. People gathered for a counterprotest.",around 70 member npd protested dresden antifa ban people gathered counterprotest,9a060aaf30ae8816ebed0bd9396dc825ace96aa23a3ef8c159cc26a817eb6d14,note-9a060aaf30ae8816
dev,POL2411,2021-04-22,2021,Poland,"On 22 April 2021, activists gathered for a rally in Krakow, protesting against a recent detention of a prominent activists during a demonstration in Warsaw and demanding her immediate release.",activist gathered rally krakow protesting recent detention prominent activist demonstration warsaw demanding immediate release,d815d8240651101c0c11a8071fc33e50c2fe3d4a7ea662c175a1059dc21979fc,note-d815d8240651101c
dev,ITA8289,2021-04-23,2021,Italy,"On 23 April 2021, No TAV Movement activists gathered in Pisa (Pisa, Toscana) to protest against police violence. The event was organized in response to the hospitalization of a fellow activist after being hit in the eye by a smoke grenade during clashes with the police over the clearing of an area in the Susa Valley to build a transport hub for the Turin-Lyon high-speed railway.",tav movement activist gathered pisa pisa toscana protest police violence event organized response hospitalization fellow activist hit eye smoke grenade clash police clearing area susa valley build transport hub turin lyon high speed railway,05a59f872369cae8679047bc1bffa0f8071325efde08033660489ec5a98dd922,note-05a59f872369cae8
dev,DEU6354,2021-04-26,2021,Germany,"On 26 April 2021, up to 70 people protested in Grossenhain with the slogan 'Watch Shooting Stars'. The exact reason for the protest was not reported.",70 people protested grossenhain slogan watch shooting star exact reason protest reported,e86e5428728d5f46dac51112f816f1b92c5bd9938c15e946b214d267dfc6ea7e,note-e86e5428728d5f46
dev,FRA8316,2021-04-27,2021,France,"On 27 April 2021, around 150 persons demonstrated in front of the Magna factory in Blanquefort at the call of unions. They denounced the convocation of three union representatives at risk of being dismissed.",around 150 person demonstrated front magna factory blanquefort call union denounced convocation three union representative risk dismissed,18362c16971fa076208b414fc68dc90c697d5be91afa34f541ff8dba19d8190f,note-18362c16971fa076
dev,DEU6470,2021-05-01,2021,Germany,"On 1 May 2021, around 150 to 200 people, including one SPD member, protested in Oberhausen on the occasion of May Day (Labor Day). The protest was organized by the IB. The exact reason for the protest was not reported.",around 150 200 people including one spd member protested oberhausen occasion may day labor day protest organized ib exact reason protest reported,32ac9c9410a2d3087bd8eada1b750bde3e46a93006f837fb7630fbf77accf23f,note-32ac9c9410a2d308
dev,DEU6495,2021-05-01,2021,Germany,"On 1 May 2021, around 80 people gathered in Koln to protest against 'police violence' after several protesters were detained during a previous protest.",around 80 people gathered koln protest police violence several protester detained previous protest,463d94dfecedb4e7b33865ff20c1ccccd3ef4e35dd6e1d1ec853d39d198724f1,note-463d94dfecedb4e7
dev,SWE1330,2021-05-03,2021,Sweden,"On 3 May 2021, Belarusians gathered at Gustav Adolf Square in Gothenburg (Goteborg) to demand a cessation of all economic relations with the government of Belarus due to its oppressive policies.",belarusian gathered gustav adolf square gothenburg goteborg demand cessation economic relation government belarus due oppressive policy,139b35193e937af4a1a7c3de229feb4d458d95a50786c5ae72b7901c3bb4e400,note-139b35193e937af4
dev,DEU6622,2021-05-08,2021,Germany,"On 8 May 2021, around 250 people gathered in Mannheim to commemorate the end of the Second World War and the liberation from the Nazi regime. The protesters called for 8 May to be delcared a national holiday. The protest was organized by the VVN-BdA and attended by the Antifa.",around 250 people gathered mannheim commemorate end second world war liberation nazi regime protester called 8 may delcared national holiday protest organized vvn bda attended antifa,b22499707ba79e8455237b0cfb5b408f8b00e3f9bf14e49a31315370d54e92ca,note-b22499707ba79e84
dev,ITA8936,2021-05-10,2021,Italy,"On 10 May 2021, former Adecco-Amazon workers gathered outside the Amazon warehouse in Colleferro (Roma, Lazio) to protest against the non-renewal of their job contracts and the 'exploitation of temporary work' by the company. The labor union USB and PC representatives took part in the demonstration.",former adecco amazon worker gathered outside amazon warehouse colleferro rom lazio protest non renewal job contract exploitation temporary work company labor union usb pc representative took part demonstration,fcc10c3a7fdaaba754262fe0d4954ecc060f8d3e488a112bc21e2a5b6db7a50e,note-fcc10c3a7fdaaba7
dev,ESP5313,2021-05-13,2021,Spain,"On 13 May 2021, around 300 workers of the Airbus aeronautical industries protested in Cadiz, demanding the aviation sector's continuity in the province and against the plant's possible closure.",around 300 worker airbus aeronautical industry protested cadiz demanding aviation sector continuity province plant possible closure,f460a9491cd52673048b50ce31b70d540c811c9a74df6b12f3c13e6a3390bcdd,note-f460a9491cd52673
dev,FRA9142,2021-05-16,2021,France,"On 16 May 2021, around 70 of people, mostly yellow vest demonstrators, temporary workers and employees of the entertainment and cultural industries from the 'Occupy Theaters' movement, protested and opened the tollgate in Ancenis so that people could pass for free to protest against unemployment benefit reforms.",around 70 people mostly yellow vest demonstrator temporary worker employee entertainment cultural industry occupy theater movement protested opened tollgate ancenis people could pas free protest unemployment benefit reform,a248d5ce245c8514fbef37d558aff74ab890ffdb9e428d7c68bc86a10cb1da1b,note-a248d5ce245c8514
dev,CYP739,2021-05-22,2021,Cyprus,"On 22 May 2021, business owners based on a main road in Limassol, and other protesters, rallied claiming that a new road dividing island caused a series of problems and demanding its removal.",business owner based main road limassol protester rallied claiming new road dividing island caused series problem demanding removal,3cd89db439da04f843c97efedd650e9fcdb742fc479b42a1cbfae769368bf900,note-3cd89db439da04f8
dev,FRA9387,2021-05-22,2021,France,"On 22 May 2021, people demonstrated in Paris to call on banks and government to drop public debts of African countries.",people demonstrated paris call bank government drop public debt african country,fdb786cc4b59fc9abf8ad837b0005599812da405a7e85aee85db3c7246b56c4d,note-fdb786cc4b59fc9a
dev,SWE1468,2021-06-04,2021,Sweden,"On 4 June 2021, demonstrators gathered in Lulea to oppose the residential tenancy policy proposed by the government that would allow landlords to use free market pricing for rental apartments.",demonstrator gathered lulea oppose residential tenancy policy proposed government would allow landlord use free market pricing rental apartment,1805c6d21ddb2ae63890ecb4f8c2f015cdf8f5416f96f43f6b6e2a76e5b6e89d,note-1805c6d21ddb2ae6
dev,ESP5845,2021-06-08,2021,Spain,"On 8 June 2021, UGT, CIG, and CCOO union delegates protested in Ferrol (A Coruna), demanding the readmission of 23 workers of Candido Hermida company.",ugt cig ccoo union delegate protested ferrol coruna demanding readmission 23 worker candido hermida company,e181617200ae6d4c8b0ce313e7b565a04ded61bdf265d0aea1992a9b8cd1e30c,note-e181617200ae6d4c
dev,NLD4060,2021-06-08,2021,Netherlands,"On 8 June 2021, about 70 school children and their parents protested in Made (Noord-Brabant) against overcrowded classes.",70 school child parent protested made noord brabant overcrowded class,e0e12dcf7d247e8ce8ae0358efb06ab6adfe268e23c754c8c429181c6faacd34,note-e0e12dcf7d247e8c
dev,GBR3135,2021-06-14,2021,United Kingdom,"On 14 June 2021, people protested outside the Redruth Town Council office in Redruth against a controversial planning application to build a property at Radnor due to its proximity to Wheal Peevor mine, a World Heritage Site.",people protested outside redruth town council office redruth controversial planning application build property radnor due proximity wheal peevor mine world heritage site,2ae941dd85e28790ee1839136ef41d09f326a3fb213fce64f73f3e77a976621e,note-2ae941dd85e28790
dev,ESP5993,2021-06-17,2021,Spain,"On 17 June 2021, local residents of Hispanidad and La Floresta neighborhood protested in Zaragoza, demanding a solution for the prolongation of Hayedo street. They complained about the blockage of the project due to a disagreement between public institutions.",local resident hispanidad la floresta neighborhood protested zaragoza demanding solution prolongation hayedo street complained blockage project due disagreement public institution,b2b01c6cfad03f9992a3bc767be45736001be297322f83fbf2d8494c71e45abd,note-b2b01c6cfad03f99
dev,FRA9994,2021-06-19,2021,France,"On 19 June 2021, around 40 parents protested in Perigueux against budget cuts concerning resources allocated for the start of the 2021 school year that could cause the closure of a class. They denounced the disparities between urban and rural high schools.",around 40 parent protested perigueux budget cut concerning resource allocated start 2021 school year could cause closure class denounced disparity urban rural high school,6da00f92b37b01f88bd2fe4399b422ace487c2c42f48f8c1f5fbb48c6da9403e,note-6da00f92b37b01f8
dev,DEU7410,2021-07-03,2021,Germany,"On 3 July 2021, people, including representatives of Christian groups, protested in Buchel against nuclear weapons and the storage of nuclear weapons at the US military base in Buchel.",people including representative christian group protested buchel nuclear weapon storage nuclear weapon u military base buchel,1d58407df6c0ce78fb2afed094dcff2e44464e14943b5c782b6a3b982ab69db6,note-1d58407df6c0ce78
dev,GBR3284,2021-07-21,2021,United Kingdom,"On 21 July 2021, 3 climate activists protested on Greenpeace's ship sailing near Beatrice wind farm at Highland offshore (coded as Lybster) calling for a just transition for oil workers amid a national energy transition campaign. It was reported that about 300 offshore workers were facing an annual GBP1,600 fee to repeat training courses.",3 climate activist protested greenpeace ship sailing near beatrice wind farm highland offshore coded lybster calling transition oil worker amid national energy transition campaign reported 300 offshore worker facing annual gbp1 600 fee repeat training course,d3ac265619f7ff9d21ef9452cb4e2d171785a6dce5f7d0786df7b1dfc7a1c439,note-d3ac265619f7ff9d
dev,ESP6459,2021-07-25,2021,Spain,"On 25 July 2021, hundreds of citizens from the Cuban community protested in Madrid - Centro to express support to demonstrators protesting against the Cuban regime. They demanded freedom and democracy. The Vox and People's Party supported the protest.",hundred citizen cuban community protested madrid centro express support demonstrator protesting cuban regime demanded freedom democracy vox people party supported protest,cca38f36eff42ed4ed39b1c66bfab70af00a453fdcfe82372174ec91635e775a,note-cca38f36eff42ed4
dev,ITA10785,2021-08-27,2021,Italy,"On 27 August 2021, relatives of the victim and members of the mayor's executive unrolled a banner from the balcony of the town hall (Palazzo Pretorio) of Palermo (Palermo, Sicilia) to demand justice regarding the death of an Italian UN aid worker who was found dead in his apartment in San Vincente del Caguan in Colombia in July 2020.",relative victim member mayor executive unrolled banner balcony town hall palazzo pretorio palermo palermo sicilia demand justice regarding death italian un aid worker found dead apartment san vincente del caguan colombia july 2020,89f0de443c799d53b0554aff0eafadf48d052dbb4fa245f23747fb97e1b903d9,note-89f0de443c799d53
dev,ITA10942,2021-09-08,2021,Italy,"On 8 September 2021, in the evening, about 50 Priabonese and Leogra dwellers took part in a torchlight procession in Cornedo Vicentino (Vicenza, Veneto) to protest against the alleged inconveniences (noise, dust and traffic) created by the construction of a tunnel between Malo and Vallugana as part of the Superstrada Pedemontana Veneta (SPV) regional motorway.",evening 50 priabonese leogra dweller took part torchlight procession cornedo vicentino vicenza veneto protest alleged inconvenience noise dust traffic created construction tunnel malo vallugana part superstrada pedemontana veneta spv regional motorway,4c97f55eb4d8ed3c7238aee259129915a8e20aa34ffd7871a57375bb04c0458d,note-4c97f55eb4d8ed3c
dev,BGR2023,2021-09-19,2021,Bulgaria,"On 19 September 2021, residents of Aytos and Ruen protested and physically blocked a road in Aytos, Bulgaria, demanding that the government resolve the issue of heavy traffic in the city and construct a bypass road. The protest was prompted by a car crash that took 3 lives.",resident aytos ruen protested physically blocked road aytos bulgaria demanding government resolve issue heavy traffic city construct bypass road protest prompted car crash took 3 life,839ba8b371c5ea849fb4f74e11685d87a989f66ea6ffddac9b7bb6e0060d2f3b,note-839ba8b371c5ea84
