event_id_cnty,bug_trigger,class,notes
ITA16913,pension,labor rights,"On 18 May 2020, restaurants and bar owners gathered outside the Town Hall in Cosenza (Cosenza, Calabria) to ask for liquidity to support their business and for a suspension in the payment of taxes amid the coronavirus emergency."
FRA2074,pension,labor rights,"On 9 June 2020, teachers and unions gathered at the high school of Melle. They protested against the temporary suspension of three teachers that had protested against the education reform that was modifying the conditions of the baccalaureate."
FRA2263,pension,labor rights,"On 16 June 2020, at the call of STC, CGT, and FO, between 1,300 and 2,500 health workers demonstrated from the train station to the prefecture in Ajaccio (Corse) as part of the national day of action for the defense of public hospitals. They also denounced coronavirus-related decrees and orders issued by the government as an attack on workers' rights (derogations to increase the working week to 60 hours, temporary reduction of rest periods, temporary suspension of paid vacations). They also asked for bonuses specific to Corsica, in particular the extension of the Corsican regional transport allowance (IRTC)."
ITA2303,pension,labor rights,"On 16 June 2020, around twenty people gathered outside the swimming pool of Busto Arsizio (Varese) to protest against the suspension of competitive swim classes due to the coronavirus crisis. The protesters claimed that coronavirus was an excuse because non-competitive classes started again."
ITA2311,pension,labor rights,"On 16 June 2020, dozens of countryside festivals' workers blocked the traffic in Bari to protest against the festivals' suspension due to the coronavirus crisis. They currently don't have any income and they didn't receive the State's financial aid yet. The police intervened to ease the situation, but no clashes occurred."
ITA2431,pension,labor rights,"On 21 June 2020, a group of people gathered with banners in Lecce for a musical flash mob in protest against the suspension of local festivals due to the coronavirus emergency."
ITA2471,pension,labor rights,"On 24 June 2020, over 40 workers of the railway system gathered outside Mestre train station to protest against the suspension of their jobs due to the coronavirus crisis and to demand financial aids. The demonstration was organized by the Italian Labor unions CGIL, CISL and UIL."
ITA2581,pension,labor rights,"On 26 June 2020, dozens of students staged a protest at the rectorship of the University of Pisa (Pisa, Toscana) and demanded clear answers about the reopening of the university after the coronavirus crisis. Protesters also asked a suspension of the payment of taxes since services were not provided during the coronavirus lockdown, and families were economically affected."
ESP1395,pension,labor rights,"On 22 July 2020, workers of school transportation services protested in Malaga demanding that the regional government pays compensations for the suspension of contracts during the coronavirus crisis outbreak."
CHE88,pension,labor rights,"On 23 July 2020, in the evening, around 60 demonstrators climbed the Statue of justice in the Palud place of Lausanne. They protested at the call of several associations to demand the suspension of 6 police officers involved in the death of a man from Nigeria, who died during his arrest."
ESP1427,pension,labor rights,"On 27 July 2020, workers of school transportation services protested in Sevilla demanding that the regional government pays compensations for the suspension of contracts during the coronavirus crisis outbreak. Protesters also demanded the prolongation of their contracts for the next school year (2020-2021)."
ESP1428,pension,labor rights,"On 27 July 2020, workers of school transportation services protested in Malaga demanding that the regional government pays compensations for the suspension of contracts during the coronavirus crisis outbreak. Protesters also demanded the prolongation of their contracts for the next school year (2020-2021)."
DEU2889,pension,labor rights,"On 17 August 2020, around 90 children, parents, grandparents, and one AfD politician protested in Rathenow outside a primary school against the suspension of the school director, who had criticised the obligatory wearing of masks."
FRA2872,pension,labor rights,"On 21 August 2020, several hundred persons, including FO members, demonstrated in Paris. They protested against the suspension of a labor inspector."
GBR1591,pension,labor rights,"On 27 August 2020, Extinction Rebellion activists blocked the Clifton Suspension Bridge in Bristol as part of a nationwide protest announcing the start of a rebellion and protesting government inaction on the climate and ecological emergency. Two female protesters were arrested."
GBR1682,pension,labor rights,"On 1 September 2020, dozens of driving instructors staged a protest outside of a driving test centre in Craigavon, Co. Armagh over the suspension of driving test services, and the knock-on effects of job losses."
ESP1857,pension,labor rights,"On 21 September 2020, workers of Xeal (former Ferroatlantica) gathered in Cee (A Coruna) to protest against the company's decision to implement a new temporary suspension of employment."
ESP1883,pension,labor rights,"On 23 September 2020, workers of Xeal (former Ferroatlantica) gathered in front of the City Council of Cee (A Coruna) to protest against the company's decision to implement a new temporary suspension of employment."
ESP1890,pension,labor rights,"On 24 September 2020, workers of Xeal (former Ferroatlantica) gathered in O Ezaro (A Coruna) to protest against the company's decision to implement a new temporary suspension of employment."
ESP2248,pension,labor rights,"On 16 October 2020, around 150 students gathered un Granada to protest against the suspension of in-person classes at the university due to the growing number of coronavirus cases."
ITA4085,pension,labor rights,"On 20 October 2020, Spreafico fruit-distributor workers gathered outside the company's warehouse in Dolzago (Lecco, Lombardia) and blocked the goods. Workers received letters of suspension for having taken part in a strike in September and that triggered the protest. Labor unions COBAS and S.I. COBAS were involved."
ITA4121,pension,labor rights,"On 21 October 2020, Spreafico fruit-distributor workers gathered outside the company's warehouse in Dolzago (Lecco, Lombardia) and blocked the goods. Workers received letters of suspension for having taken part in a strike in September and that triggered the protest. Labor unions COBAS and S.I. COBAS were involved."
ITA4241,pension,labor rights,"Around 25 October 2020 (week of), business owners staged a protest in Cava de' Tirreni (Salerno, Campania) to demand a suspension of taxes given that their businesses are affected by the coronavirus epidemic."
MDA731,pension,labor rights,"On 28 October 2020, hundreds of people, including a mayor from Our Party and at least one city councillor, protested in Vulcanesti against the suspension of the mayor's term."
ITA24859,pension,labor rights,"On 28 October 2020, more than 100 people, including residents, shop owners, and restaurant owners, gathered in Roma Square in Ospitaletto (Lombardia) to protest against the government's latest special decree to curb the spread of coronavirus, which mandated early closure of restaurants and clubs at 6 PM, suspension of sports and cultural activities, and a curfew at 11 PM. Organized by Matteo Toto, a minority city councilor affiliated with Let's Take Ospitaletto Back (Riprendiamoci Ospitaletto), the protest was supported by local leaders from FdI, Lega, and FI. Protesters, under the slogan 'Let us work,' symbolically urged the government to allow safe business operations."
BGR1579,pension,labor rights,"On 30 October 2020, demonstrators led by Boec blocked the access to the construction site for Turkish Stream the village of Rasovo (Medkovets), demanding the resignation of government and suspension of the project."
CHE150,pension,labor rights,"On 2 November 2020, around 50 women demonstrated in Geneva to call for the immediate suspension of a radio broadcaster's employee accused of harassment by a dozen employees. They also called for the launch of an internal investigation into the chain of responsibility. They protested also to empower women to break the silence and come forward to testify."
CHE151,pension,labor rights,"On 2 November 2020, women demonstrated in Fribourg to call for the immediate suspension of a radio broadcaster's employee accused of harassment by a dozen employees. They also called for the launch of an internal investigation into the chain of responsibility and denounced sexism. They protested also to empower women to break the silence and come forward to testify."
CHE149,pension,labor rights,"On 2 November 2020, around 35 women demonstrated in Lausanne to call for the immediate suspension of a radio broadcaster's employee accused of harassment by a dozen employees. They also called for the launch of an internal investigation into the chain of responsibility. They protested also to empower women to break the silence and come forward to testify."
FRA3899,pension,labor rights,"On 2 November 2020, people and CGT union demonstrated in Narbonne against how much management is using subcontracting, which they feel is too prevalent. They denounced the suspension of employment contracts without pay and the mobilization of firefighters to replace them."
BGR1590,pension,labor rights,"On 4 November 2020, lawyers protested in Burgas against the potential coronavirus measure that would result in the suspension of legal services."
BGR1593,pension,labor rights,"On 4 November 2020, about twenty lawyers protested in Plovdiv against the potential coronavirus measure that would result in the suspension of legal services."
BGR1595,pension,labor rights,"On 4 November 2020, lawyers protested in Sofia against the potential coronavirus measure that would result in the suspension of legal services"
BGR1598,pension,labor rights,"On 4 November 2020, lawyers protested in Varna against the potential coronavirus measure that would result in the suspension of legal services."
HUN202,pension,labor rights,"On 10 November 2020, students of the SzFE held a protest in Budapest VIII, announcing the suspension of the university's blockade, but reiterating the need for the reinstatement of the university's autonomy and public status. The students also voiced solidarity with the health workers. They also later protested outside the education office of the university demanding the continuation of the credit offering for courses taught during the university blockade."
ESP2629,pension,labor rights,"On 12 November 2020, health workers gathered in Malaga to protest against the Regional Government's order of 9 November, regulating the suspension of holidays, licenses, and permits of the health care personnel during the coronavirus pandemic framework. The protest was supported by the General Union of Workers (UGT), Workers Commissions (CCOO), Public Official's Independent Trade Union (CSIF), and Nursing Union (SATSE)."
ESP2654,pension,labor rights,"On 12 November 2020, health workers gathered in Granada to protest against the Regional Government's order of 9 November, regulating the suspension of holidays, licenses, and permits of the health care personnel during the coronavirus pandemic framework. The protest was supported by the General Union of Workers (UGT) and Workers Commissions (CCOO)."
FRA4353,pension,labor rights,"On 19 November 2020, around 50 nursing students protested in Salon-de-Provence against a coronavirus-related measure concerning the suspension of their classes. They assumed it was to force them to help out in hospitals."
ESP2778,pension,labor rights,"On 19 November 2020, health workers gathered in Malaga to protest against the Regional Government's order of 9 November, regulating the suspension of holidays, licenses, and permits of the health care personnel during the coronavirus pandemic framework. The protest was supported by the General Union of Workers (UGT), Nursing Union (SATSE), Malaga Medical Union (SMA) and Workers Commissions (CCOO)."
FRA4363,pension,labor rights,"On 19 November 2020, nurses in training, mainly women, demonstrated in front of the hospital in Martigues. They denounced the notification by email of the suspension of classes and internships, which was a decision made to make them available to help hospitals address the coronavirus outbreak."
FRA4356,pension,labor rights,"On 19 November 2020, around 100 people and CGT union members demonstrated in Narbonne against how much management is using subcontracting, which they feel is too prevalent. They denounced the suspension of employment contracts without pay and the mobilization of firefighters to replace them which sabotages their strike. They also demonstrated against the conditions under which employees retire."
ITA5134,pension,labor rights,"On 21 November 2020, a group of street and market vendors staged a sit-in in Bengasi square in Torino (Torino, Piemonte) to protest against the restrictions to their activity introduced by the government amidst a second wave of coronavirus infections and demand the suspension of taxes for their professional category."
FRA4517,pension,labor rights,"On 24 November 2020, nearly 250 nurses in training demonstrated in front of the Regional Health Agency in Marseille at the call of the CGT union. They denounced the notification by email of the suspension of classes and internships, which was a decision made to make them available to help hospitals address the coronavirus outbreak."
ESP2916,pension,labor rights,"On 26 November 2020, health workers gathered in the Valladolid University Clinical Hospital demanding the withdrawal of the Regional Government's decree about the 'reorganization' of health care personnel to cope with the coronavirus pandemic.They protested against staff mobility within the region and the suspension of holidays, licenses, and permits. The protest was supported by the General Union of Workers (UGT), Nursing Union (SATSE) and Workers Commissions (CCOO)."
FRA4792,pension,labor rights,"On 2 December 2020, around 80 employees of Orano and CGT union members demonstrated in Narbonne against how much management is using subcontracting, which they feel is too prevalent. They denounced the suspension of employment contracts without pay and the mobilization of firefighters to replace them which sabotages their strike. They also demonstrated against the conditions under which employees retire."
FRA4977,pension,labor rights,"On 6 December 2020, around 80 parents accompanied by their children protested in Limoges against a bill that bans homeschooling. In addition to the suspension of the law, the demonstrators also called for fewer inspections if the first one goes well."
FRA5021,pension,labor rights,"On 8 December 2020, around 80 employees of Orano and CGT union members demonstrated in Narbonne against how much management is using subcontracting, which they feel is too prevalent. They denounced the suspension of employment contracts without pay and the mobilization of firefighters to replace them which sabotages their strike. They also demonstrated against the conditions under which employees retire."
ESP3119,pension,labor rights,"On 10 December 2020, health workers protested in Valladolid demanding the withdrawal of the Regional Government's decree about the 'reorganization' of health care personnel to cope with the coronavirus pandemic. They protested against staff mobility within the region and the suspension of holidays, licenses, and permits. The protest was supported by the State Confederation of Medical Unions (CESM), Nursing Union (SATSE), and Workers Commissions (CCOO)."
FRA5327,pension,labor rights,"On 17 December 2020, around 40 police officers and SGP Police-FO Unity union members protested in Tours to denounce an interview with the French president acknowledging the existence of police violence as well as racial profiling. They explained that it was false and unfair. They also protested against a police officer's six-month suspension and 18-month work ban for slapping a man in the face during an intervention."
ITA5598,pension,labor rights,"On 18 December 2020, a group of transport ticket-selling Giroservice employees affiliated with USB Trasporti gathered in Napoli (Napoli, Campania) to protest against the suspension of services by their company amidst the coronavirus pandemic and denounce their resultant liquidation and lay-offs."
ESP3359,pension,labor rights,"On 22 December 2020, around 50 health workers protested in Salamanca demanding the withdrawal of the Regional Government's decree about the 'reorganization' of health care personnel to cope with the coronavirus pandemic. They protested against staff mobility within the region and the suspension of holidays, licenses, and permits. The protest was organised by the General Union of Workers (UGT)."
ITA5871,pension,labor rights,"On 12 January 2021, the labor union COBAS organized a demonstration outside the Lecce Prefecture to protest against several things (not related to COVID-19): the suspension of the activities at the La Fontanella nursing home; the uncertainty of the jobs for educators of students with disabilities; the cut in working hours and personnel of Alba Service."
POL1860,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Stargard, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts."
POL1849,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Gdynia, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1854,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Lublin, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1856,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Olkusz, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1862,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Zakopane, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1847,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Bydgoszcz, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1848,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Gdansk, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1853,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Lodz, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement and also anarchists."
POL1852,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Krakow, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1859,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Starachowice, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1858,pension,labor rights,"On 18 January 2021, activists including judges affiliated to Iustitia gathered for a rally in Poznan, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts."
POL1850,pension,labor rights,"On 18 January 2021, activists including judges affiliated to Iustitia gathered for a rally in Gorzow Wielkopolski, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts."
POL1861,pension,labor rights,"On 18 January 2021, several dozen activists including judges affiliated to Iustitia gathered for a rally in Warsaw, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts."
POL2141,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Jelenia Gora, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1851,pension,labor rights,"On 18 January 2021, activists gathered for a rally in Kielce, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1857,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Opole, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1855,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Nowy Targ, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts. The event was co-organized by the KOD movement."
POL1846,pension,labor rights,"On 18 January 2021, activists including judges gathered for a rally in Bialystok, demanding a resumption of duties of several other judges, who are currently under - allegedly wrongful - suspension. The issue was related to the controversial governmental reform of courts."
ITA6041,pension,labor rights,"On 21 January 2021, a group of female legal gambling industry workers staged a flash mob in Montecitorio square in Rome - City Center (Roma, Lazio) to protest against the suspension of their activities decided by authorities amidst the second coronavirus wave. Protesters were dressed in black as a reported way to mourn their closed businesses."
FRA5817,pension,labor rights,"On 26 January 2021, taxi drivers demonstrated in front of the city hall in Marseille. They demanded the suspension of the parking fee for 2020."
FRA5824,pension,labor rights,"On 29 January 2021, nearly 300 persons, including professional artists, gathered at the Capitol square in Toulouse. They demonstrated to support the Mix'Art Myrys association, on the verge of closing following an administration closing and the suspension of its subventions."
AUT483,pension,labor rights,"On 3 February 2021, around 70 people gathered in Jennersdorf to protest against the suspension of a public health officer after she had participated and spoken at a protest against the coronavirus protection measures in Oberwart."
ESP3972,pension,labor rights,"On 6 February 2021, around 1300 people (3000 according to the organizers) protested in Barcelona against the Constitutional Court's suspension of the Decree approved by the Parliament of Catalonia in 2019 to improve housing access. Protesters said that the decision leaves many families in a vulnerable position. The Platform for People Affected by Mortgages (PAH) called the protest."
ITA6653,pension,labor rights,"On 19 February 2021, about 20 Cot Sicilian prison canteen service operators affiliated with CISL FISASCAT, CGIL FILMAN and UILTUCS took part in a sit-in in Cerulli square in Palermo (Palermo, Sicilia) to protest against the suspension of their activities following the replacement of their company as a canteen service provider and demand guarantees regarding their professional future."
ITA6657,pension,labor rights,"On 19 February 2021, a group of Cot Sicilian prison canteen service operators affiliated with CISL FISASCAT took part in a sit-in outside the Cavadonna prison facility in Siracusa (Siracusa, Sicilia) to protest against the suspension of their activities following the replacement of their company as a canteen service provider and demand guarantees regarding their professional future."
ESP4267,pension,labor rights,"On 26 February 2021, workers of the public postal service gathered in Leon to protest over work overload. They denounced the suspensions of staff recruitment."
FRA6676,pension,labor rights,"On 2 March 2021, employees of the Aubert & Duval and Interforge demonstrated in front of the factories of both companies in Issoire. They denounced an announced job cut, a salary freeze and the suspension of any incentive compensation."
FRA6703,pension,labor rights,"On 2 March 2021, employees of the Aubert & Duval and Interforge demonstrated in front of the factory of the company in Les Ancizes, at the call of the CGT union. They denounced an announced job cut, a salary freeze and the suspension of any incentive compensation."
FRA6705,pension,labor rights,"On 3 March 2021, employees of the Aubert & Duval and Interforge demonstrated in front of the factory of the company in Les Ancizes, at the call of the CGT union. They denounced an announced job cut, a salary freeze and the suspension of any incentive compensation."
ESP4427,pension,labor rights,"On 12 March 2021, workers of the public postal service gathered in Ferrol (A Coruna) to protest over work overload. They denounced the suspensions of staff recruitment. The Galician Inter-Union Confederation (CIG) called the protest."
ITA8187,pension,labor rights,"On 11 April 2021, around 200 people waiting to get the COVID-19 vaccine outside San Camillo hospital in Manfredonia (Foggia, Puglia) started protesting against the suspension of the administration of vaccines due to the lack of doses."
ITA8253,pension,labor rights,"On 20 April 2021, tour bus drivers at the wheel of dozens of vehicles rode and honked through the streets and later gathered outside the Campania Region headquarters in Napoli (Napoli, Campania) to lament the 'death' of their sector in the wake of the coronavirus emergency and ask for the suspension of the motor vehicle tax for their category as a relief measure. The protest, which was organized by the Campania branch of the AssoBus trade union association, created traffic disruptions."
ITA8372,pension,labor rights,"On 29 April 2021, FILLEA CGIL, FILCA CISL and FENEAL UIL representatives staged a 'sit-in' protest at the Mortillaro channel construction site in Palermo (Palermo, Sicilia) to protest against the suspension of the work, denounce its impact on traffic and ask for the Municipality and the Sicilia Region to unfreeze it."
ITA8393,pension,labor rights,"On 30 April 2021, between 300 and 500 people gathered, at the call of the health branch of CUB, in De Ferrari square in Genova (Genova, Liguria) to protest against the national government's decision to make vaccination against coronavirus compulsory for health workers. Protesters, some of them affiliated with the Democratic Medicine association, defended freedom of choice and the suspension of patents on coronavirus vaccines."
DEU6488,pension,labor rights,"On 1 May 2021, around 130 people protested in Coburg on the occasion of May Day (Labor Day). The protesters demanded, amongst other, the suspension of patent rights for vaccines."
ITA10728,pension,labor rights,"On 12 May 2021, FLAICA and CUB trade union affiliates gathered outside Gaetano Pini Hospital in Milano - Municipio 1 (Milano, Lombardia) to protest against the suspension and laying off of a fellow union delegate from the facility's cleaning and catering department in February 2021."
ITA9007,pension,labor rights,"On 21 May 2021, health workers and other health facility employees gathered, at the call of the health branch of CUB, in Garibaldi square in Parma (Parma, Emilia-Romagna) to protest against the national government's decision to make vaccination against coronavirus compulsory for health workers. Protesters also criticized the privatization of healthcare and called for the recruitment of more health personnel and the suspension of 'numerus clausus' for nursing and medical faculties. The event was part of a national day of protest called by trade unions' health branches."
ITA9008,pension,labor rights,"On 21 May 2021, workers affiliated with the health branch of the CUB trade union gathered in De Ferrari square in Genova (Genova, Liguria) to protest against the national government's decision to make vaccination against coronavirus compulsory for health workers. Protesters also criticized the privatization of healthcare and called for the recruitment of more health personnel and the suspension of 'numerus clausus' for nursing and medical faculties. The event was part of a national day of protest called by trade unions' health branches."
ITA9095,pension,labor rights,"On 21 May 2021, health workers and USB health section trade unionists gathered in Cagliari (Cagliari, Sardegna) to demand universal and free public healthcare, a suspension of 'numerus clausus' for nursing and medicine faculties, the recruitment of additional health personnel and call for a waiver on coronavirus vaccines' patents. The event was part of a national movement of strike and protest called by USB on the day of the G20 Global Health Summit in Rome."
ITA9096,pension,labor rights,"On 21 May 2021, health workers and USB health section trade unionists gathered in Indipendenza square in Palermo (Palermo, Sicilia) to demand universal and free public healthcare, a suspension of 'numerus clausus' for nursing and medicine faculties, the recruitment of additional health personnel and call for a waiver on coronavirus vaccines' patents. The event, to which a No G20 delegation from Catania also took part, was part of a national movement of strike and protest called by USB on the day of the G20 Global Health Summit in Rome."
ITA24687,pension,labor rights,"Around 25 May 2021 (as reported), workers of various cultural Apulian landmarks employed by the Ministry of Culture gathered outside Castel del Monte in Andria (Puglia) to protest against the suspension of some of their contracts, stressing their many years of service."
ITA9401,pension,labor rights,"On 29 May 2021, CGIL, CISL, and UIL members gathered in Rossi square in Catanzaro under the banner 'No Profit On Pandemic' to demand the temporary suspension of patents on coronavirus vaccines and drugs. They also collected signatures."
ITA9402,pension,labor rights,"On 29 May 2021, CGIL, CISL, and UIL members gathered in Crotone under the banner 'No Profit On Pandemic' to demand the temporary suspension of patents on coronavirus vaccines and drugs. They also collected signatures."
ITA9403,pension,labor rights,"On 29 May 2021, CGIL, CISL, and UIL members gathered in Municipio square in Vibo Valentia under the banner 'No Profit On Pandemic' to demand the temporary suspension of patents on coronavirus vaccines and drugs. They also collected signatures."
ITA9424,pension,labor rights,"On 29 May 2021, as part of the 'Right2Cure - No Profit On Pandemic' European campaign and at the call of dozens of unspecified Italian entities, including trade unions, people gathered in Torino (Piemonte) to call for the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA9425,pension,labor rights,"On 29 May 2021, people gathered in Florence (Firenze, Toscana) under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA9426,pension,labor rights,"On 29 May 2021, people gathered in Rome (Roma, Lazio) under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA9428,pension,labor rights,"On 29 May 2021, people gathered in Palermo under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA17819,pension,labor rights,"On 29 May 2021, people gathered in Argentina square in Milano - Municipio 3 under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA9423,pension,labor rights,"On 29 May 2021, people gathered in Duca d'Aosta square in Milano - Municipio 2 under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
ITA9427,pension,labor rights,"On 29 May 2021, people gathered in Napoli under the banner 'Right2Cure - No Profit On Pandemic' to demand the suspension of patents on coronavirus vaccines in order to produce vaccines for economically backward countries."
BEL1342,pension,labor rights,"On 22 June 2021, around 40 activists of No Profit On Pandemic staged a protest in front of the Belgian Federal Parliament in Brussels - Ville de Bruxelles to demand a suspension of the patents on the coronavirus vaccine. Among the protesters, members of Ecolo, PS and PVDA-PTB were present."
