event_id_cnty,manual_label,manual_label_alt,predicted_class_students,notes
ESP13164,labor rights,,labor rights,"On 19 April 2023, justice administration officials held a protest in Santa Cruz de Tenerife (Santa Cruz de Tenerife, Canarias) to demand a salary increase. The protest was summoned by CSIF, STAJ, CCOO, and UGT."
DEU21530,policies & politics,,lgbtq,"On 20 May 2024, PEGIDA staged a protest in Dresden (Sachsen). Under the motto 'No foot in Quergida fascism' people staged a counter-protest and several people held a sit-in nearby. Protest motives were not specified."
MKD981,labor rights,,policies & politics,"On 4 August 2023, employees of the Macedonian Information Agency protested in Skopje demanding that the salaries for the national news agency be increased and that the parliament consider their requests."
ITA14966,labor rights,farmers,pandemic,"On 16 March 2022, striking fishers gathered at the port of Gallipoli (Lecce, Puglia) to protest against the increase in oil and gas prices and denounce the impact on their category."
FIN1754,education,,education,"On 30 April 2025, students staged a walkout demonstration in Jyvaskyla, Keski-Suomi, to oppose plans to merge schools into a single large campus, citing concerns about overcrowding and lack of individual support."
GBR3616,labor rights,,public services,"On 28 September 2021, taxi drivers representing the App Drivers' and Couriers' Union gathered outside Uber offices in Manchester as part of a 24-hour strike in protest over poor pay, conditions and unfair dismissals. Drivers demanded that rates be set at 2 GBP per mile. This was part of a series of co-ordinated strikes by members of the union across several cities in the country. In attendance were representatives of the Unite Union."
DEU18176,policies & politics,,policies & politics,"On 3 December 2023, people, including Antifa activists, participated in a protest outside the Italian consulate in Stuttgart (Baden-Wurttemberg) to demand freedom for Gabri - an anti-fascist who was arrested on the night of 21 November 2023 in Italy on the charges of being involved in attacks against fascists in Budapest in February 2023 and is now facing extradition to Hungary - and to show solidarity with all imprisoned and deceased anti-fascists."
DEU2737,climate,,climate,"On 31 July 2020, Fridays for Future activists protested in Ravensburg for more climate action."
AUT270,immigration,,policies & politics,"On 3 October 2020, several thousand people protested in Vienna - Inner City (Wien), at Karlsplatz, for the reception of refugees and the rights of refugees. The protest was organized by the Platform for Human Rights and attended, amongst others, by Grannies Against the Right."
BGR2725,public services,,environment,"On 4 November 2022, residents of the village of Glogovo protested in Teteven against what they claim are unacceptable water rationing measures. For 25 years, they have had water supplied for only one hour per day, and they demand that local authorities in Lovech do something to change this."
ITA18739,policies & politics,unjust law enforcement,labor rights,"Around 1 February 2023 (as reported), about 40 anarchists gathered outside the Ministry of Health in Rome - City Center (Roma, Lazio) to protest against the detention of a well-known anarchist activist under the article 41-bis prison regime, who started a hunger strike on 20 October 2022."
SRB3504,policies & politics,public services,education,"On 11 December 2024, students gathered for the second consecutive day in front of the Faculty of Economics in Subotica to honor the victims of the Novi Sad tragedy. They observed a 15-minute moment of silence and called for accountability from those responsible for the deaths."
FRA16678,policies & politics,,pandemic,"On 8 April 2022, at the call of Reporters without Borders, citizens demonstrated in Toulouse to call for the liberation of a French journalist held hostage by an armed group in Mali."
FRA3037,labor rights,,labor rights,"On 14 September 2020, around 30 former employees of Frank et Pignard demonstrated in front of the factory in Thyez. They denounced the redundancy plan of the company."
BGR624,farmers,,animal welfare,"On 8 August 2019, about 20 pig owners continued the blockade of the Yambol-Sliven road in protest against the government's decision to slaughter their pigs due to a swine fever epidemic."
HRV847,environment,,environment,"On 30 October 2022, about 50 activists and residents protested in Diklo against the waste disposal site in their neighborhood."
ESP12857,labor rights,,labor rights,"On 28 March 2023, Repsol refinery workers held a protest in A Coruna (Galicia) after the death of worker Unai Martinez, who died after an accident in the refinery facilities while he was working."
FRA26985,unjust law enforcement,,unjust law enforcement,"On 30 June 2023, overnight, 30 rioters took to the streets of Ales where they hurled projectiles and Molotov cocktails at a local police station, damaging its facade. Police officers responded with tear gas. Rioters also burned containers elsewhere in town. The events were part of a national wave of riots and demonstrations denouncing police violence and demanding justice in the wake of the shooting and subsequent death of 17-year-old Nahel M. by a police officer in Nanterre on 27 June 2023."
FRA14109,labor rights,,public services,"On 4 January 2022, around 100 SAM foundry workers affiliated to the CGT union, blocked the train station in Rodez to denounce the closure of their factory."
ITA8936,labor rights,,labor rights,"On 10 May 2021, former Adecco-Amazon workers gathered outside the Amazon warehouse in Colleferro (Roma, Lazio) to protest against the non-renewal of their job contracts and the 'exploitation of temporary work' by the company. The labor union USB and PC representatives took part in the demonstration."
FRA27718,environment,,policies & politics,"On 26 September 2023, between 100 and 150 people, CGT affiliates and municipal councilor Enora Chopard (EELV) gathered in Rouen (Normandie) to protest against the lack of government action after the Lubrizol factory fire on 26 September 2019."
SRB2183,policies & politics,,public services,"On 30 January 2022, residents of Pakrovace near Cacak protested against the delayed payments for the land that was seized from them for the construction of a highway in their area, and claimed that the price offered to them for their land was too low."
DEU13761,climate,,environment,"On 29 October 2022, people, including Scientist Rebellion members and Catholics (Jesuits priests), demonstrated in Munchen (Karlzplatz) for climate protection. They glued their hands to the road."
ESP6459,policies & politics,,policies & politics,"On 25 July 2021, hundreds of citizens from the Cuban community protested in Madrid - Centro to express support to demonstrators protesting against the Cuban regime. They demanded freedom and democracy. The Vox and People's Party supported the protest."
FRA14592,unjust law enforcement,,labor rights,"On 19 January 2022, around 100 people demonstrated in front of the tribunal of Meaux to denounce the death a year of a prisoner at the hand of prison guards and call for justice."
HRV248,culture,,culture,"On 6 April 2019, in Croatian capital Zagreb, over 200 people protested over the announced closure of Europe Cinema, the oldest active cinema in Croatia."
GBR3284,climate,,environment,"On 21 July 2021, 3 climate activists protested on Greenpeace's ship sailing near Beatrice wind farm at Highland offshore (coded as Lybster) calling for a just transition for oil workers amid a national energy transition campaign. It was reported that about 300 offshore workers were facing an annual GBP1,600 fee to repeat training courses."
ITA16034,labor rights,,climate,"On 27 May 2022, fishers staged a demonstration at the port in Bisceglie (Barletta-Andria-Trani, Puglia) to protest against the increase in the price of diesel fuel."
ROU2691,labor rights,,discrimination,"On 8 April 2024, over 30 social assistants protested in Targu Mures, against not being included in Government Ordinance 19/2024, which affects their remuneration. They argue that this exclusion is discriminatory compared to other similar categories included in the ordinance."
CYP474,public services,,public services,"On 13 August 2020, business owners based on a main road in Limassol protested against road works in their area and particularly the construction of a road dividing island holding spades and driving tractors."
DEU13367,environment,,animal welfare,"On 26 September 2022, a group of activists dressed up in banana costumes protested outside an Edeka supermarket at the Hafentor in Hamburg - Hamburg-Mitte (Hamburg) to draw attention to the use of mancozeb (a pesticide) in the cultivation of bananas in Ecuador. The EU banned the mancozeb the year before and denounced the serious health risks and human rights violations workers on plantations in Ecuador are exposed to."
DEU22462,labor rights,,policies & politics,"On 10 September 2024, at the call of Ver.di, around 150 employees and supporters of the youth employment services in Essen (Nordrhein-Westfalen) gathered outside the Council Chamber to protest against the city's plan to cut nearly 20% of the 180 jobs in the youth employment sector."
DEU8787,labor rights,,labor rights,"On 10 December 2021, around 100 firefighters and Ver.di members protested in Hannover to call for more money and the reintroduction of a full Christmas bonus."
FRA26012,labor rights,,policies & politics,"On 13 May 2023, between 300 and 500 people, including CGT affiliates, yellow vests, 2 PCF national deputies, a UDI MP, an RN MP, and the local mayor, gathered in Trith-Saint-Leger, to express their support to the 350 Valdunes striking employees."
DEU15975,labor rights,,labor rights,"On 30 April 2023, at the call of DGB, a few hundred people gathered at Marktplatz in Bonn, to protest for worker's rights on the occasion of International Worker's Day."
GRC5750,women rights,unjust law enforcement,unjust law enforcement,"On 28 November 2024, protesters rallied outside the courthouse in Athens - Central Athens shouting slogans, demanding the conviction of the accused, as the trial in the case of the rape and trafficking of a 12-year-old girl in Kolonos was nearing its end. The police announced they will sue the protesters because in one of their banners they were accusing authorities of a cover-up. 6 of the accused were found innocent."
FRA2778,policies & politics,culture,policies & politics,"On 23 July 2020, dozens of people gathered in front of the city hall in Paris. They protested for the resignation of the deputy head of the Culture."
DEU8511,environment,,public services,"On 27 October 2021, more than 50 people protested in Puttlingen for the preservation of an old railroad embankment."
GRC2453,policies & politics,,policies & politics,"Around 19 January 2021 (from 17 January - 19 January), at least 20 anarchists including Male Comrades/Female Comrades and SAEKM protested in 15 locations in central and wider Thessaloniki, unfurling banners, scattering fliers, and shouting slogans, to express their solidarity with Dimitris Koufodinas, a convicted hitman of the now defunct group November 17, who was on hunger strike since 8 January over his transfer from a rural, low-security prison, to a higher security prison."
HUN891,public services,,policies & politics,"On 9 June 2023, at least 25 locals blocked an exit of the M0 highway in Budakalasz, in protest to the authorities' plan to expand the highway, which would disturb the neighborhood."
FRA13286,policies & politics,,labor rights,"On 20 November 2021, around 65 Yellow Vests gathered in two locations in Clermont-Ferrand, to commemorate the movement's third year anniversary. They denounced the decreasing purchasing power in France."
DEU24280,policies & politics,,policies & politics,"On 22 February 2025, at the call of the 'Democracy Network' (Demokratie-Netzwerk), people gathered in Viersen (Nordrhein-Westfalen) to protest against far-right ideologies. The event was part of a nationwide protest movement focused on defending democracy ahead of the 2025 federal elections."
FRA19587,education,,education,"On 18 October 2022, around 50 students held a protest in front of Jean-Marie-Le-Bris high school in Douarnenez against the platform Parcoursup, the reform of professional high schools, and the lack of school personnel. The event was part of a national and cross-sector day of strike and protest called by the CGT, FO, SUD, and FSU unions, as well as the FIDL, MNL, UNEF, and High School Voice student organizations, to demand salary increases amid inflation and defend the right to strike."
ESP3029,labor rights,,labor rights,"On 4 December 2020, shellfishers traveled in a protest caravan in Ferrol (A Coruna), demanding solutions to their 'difficult' labor situation due to the shortage of products."
DEU16772,policies & politics,,policies & politics,"On 16 August 2023, around 200 people, including members of SPD, MLPD, IGBCE, The Greens, The Left, and FVC, demonstrated in Herten against an ongoing rally of the far-right political party AFD. They yelled 'Nazis out'. Protesters were against far-right ideas and fascism."
SWE5532,immigration,,immigration,"On 29 March 2024, people demonstrated in Malmo, Skane, against the planned deportation of a Swedish-born child to Pakistan."
DEU1148,immigration,,housing,"On 17 April 2020, more than 60 people protested in Bremen for the immediate closure of a refugee accommodation."
MNE449,policies & politics,,policies & politics,"On 1 March 2020, protesters marched through Pluzine, Montenegro, against the new Religious Freedom Law. The Serbian Orthodox Church feels unfairly targeted by this law."
DEU6495,unjust law enforcement,,policies & politics,"On 1 May 2021, around 80 people gathered in Koln to protest against 'police violence' after several protesters were detained during a previous protest."
ITA17803,policies & politics,,policies & politics,"On 13 November 2022, around 200 people gathered in Francavilla Fontana (Brindisi, Puglia) to ask for justice for the death of a young man killed in front of his house under circumstances yet to be clarified. The mayors of Francavilla Fontana (civic list), Latiano (civic list), and San Pietro Vernotico (independent), and members of the municipal administration and the government took part in the demonstration. Libera and UdS organized the demonstration."
DEU19674,policies & politics,,education,"Around 31 January 2024, (as reported), around 600 students of the Wedemark-Mellendorf grammar school staged a rally in Mellendorf (Niedersachsen) to protest in defense of tolerance and diversity. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed."
GRC6309,policies & politics,public services,public services,"On 28 February 2025, on the 2nd anniversary of the Tempe rail disaster and the day after an independent investigation report was released blaming human error, outdated infrastructure and major systemic failures, during a 24-hour general strike, protesters rallied in Orestiada with the slogan 'I Have No Oxygen', demanding justice and accountability."
ESP9551,policies & politics,,animal welfare,"On 24 March 2022, a group of activists, including from the Sahrawi community, gathered in front of Siemens Gamesa company in Zamudio (Basque Country) to protest against 'plundering' resources in Western Sahara. They carried slogans such as 'Western Sahara is not for Sale.'"
POL3719,policies & politics,,policies & politics,"On 19 December 2021, activists including KOD members gathered for a rally in Myslenice, protesting against a new law on media ownership, which they perceive as a harmful pressure of the government against independent media."
SRB3046,environment,,policies & politics,"On 20 February 2024, residents of Novi Beograd and activists marched through Belgrade - Novi Beograd, voicing their dissatisfaction with the local government's plans to build a skyscraper within the green areas of this part of the city."
ESP5993,public services,,policies & politics,"On 17 June 2021, local residents of Hispanidad and La Floresta neighborhood protested in Zaragoza, demanding a solution for the prolongation of Hayedo street. They complained about the blockage of the project due to a disagreement between public institutions."
DEU13354,policies & politics,,environment,"On 26 September 2022, around 1,300 people protested in Wismar to demand an energy cap amid rising prices and current energy policies."
HRV777,policies & politics,,policies & politics,"On 5 March 2022, around a hundred citizens gathered in Zadar to voice their opposition against handing over the building of the Zadar County to the Zadar Archdiocese. Protesters stated that the church wants to be a community of real estate instead of a community of believers."
DEU6470,labor rights,,labor rights,"On 1 May 2021, around 150 to 200 people, including one SPD member, protested in Oberhausen on the occasion of May Day (Labor Day). The protest was organized by the IB. The exact reason for the protest was not reported."
BIH1289,policies & politics,,policies & politics,"On 9 February 2025, several thousands of activists gathered for a rally in Zenica, protesting against inflation, high taxes and other related economic costs."
ESP20312,public services,,housing,"On 18 March 2025, more than 100 residents, including business owners held a protest in Redondela (Galicia) to denounce the removal of parking spaces due to street redevelopments, impacting commerce and resident's life."
ESP2687,environment,,environment,"On 14 November 2020, between 70-80 citizens gathered in Palma de Mallorca to protest against Establiments quarries' reopening."
ITA1755,education,health care,health care,"On 29 May 2020, around a hundred trainee doctors gathered in front of the Region Headquarters in Torino to protest against access to medical specialisations. Their main complaint was that the current system doesn't let all the graduated students to specialise."
BIH639,labor rights,,labor rights,"On 9 February 2021, police officers protested in Banja Luka, Bosnia and Herzegovina, demanding better retirement conditions."
ITA23094,policies & politics,,policies & politics,"On 20 May 2024, pending the ruling of the British High Court regarding the extradition of Wikileaks founder Julian Assange, people gathered near the Duomo in Milano - Municipio 1 (Lombardia) to stage a demonstration as part of an international event in solidarity with Assange and freedom of the press. Protesters also placed a temporary monument dedicated to Assange near the Duomo."
DEU3020,climate,environment,policies & politics,"On 30 August 2020, between 1,000 and 3,000 activists, including Extinction Rebellion, All Villages Stay and Fridays for Future activists, protested in Garzweiler at the open pit mine against the destruction of villages surrounding the pit mine. While some protesters staged protests, a group of protesters climbed an excavator. The police and private security forces of the energy company RWE ended the blockade using force and detained eight activists."
DEU2940,unjust law enforcement,,unjust law enforcement,"On 22 August 2020, around 100 people protested in Stade for an Afghan refugee who was shot dead by a police officer during a police operation one year ago, demanding an investigation into the death."
ESP7468,labor rights,policies & politics,animal welfare,"On 8 November 2021, hairdressers protested in Aranda del Duero (Burgos, Castilla y Leon), calling on the government to reduce the VAT rate (from 21% to 10%) applied to their labour sector."
ROU756,policies & politics,,policies & politics,"On 16 September 2018, approximately 30 people protested outside the Sibiu tribunal, condemning the government attacks against the judiciary."
ESP10467,labor rights,,policies & politics,"On 3 June 2022, agents of Cadiz Local Police unions such as CSIF protested in Cadiz (Andalucia) after the break in the negotiations on their agreement."
ROU173,policies & politics,,policies & politics,"On 11 August 2018, protesters in Piatra Neamt rallied against corruption and the policies of the Romanian government."
ESP7137,policies & politics,labor rights,policies & politics,"On 15 October 2021, CCOO and UGT trade union members protested in Zaragoza (Aragon) to support CGIL Italian union after neo-fascist groups attacked its headquarters on 9 October."
FIN1107,labor rights,policies & politics,labor rights,"On 7 November 2023, workers demonstrated in in Oulu, Pohjois-Pohjanmaa, in support of the ongoing strike against the government's proposed labor market reforms and benefit cuts."
DEU22838,policies & politics,,public services,"On 18 October 2024, people, including a representative of the Left Party, gathered for a protest in HafenCity, in front of the HVV headquarters on Brooktorkai, in Hamburg (Hamburg), opposing a recent ban on begging in Hamburg's metro and city train stations."
FRA9994,education,,education,"On 19 June 2021, around 40 parents protested in Perigueux against budget cuts concerning resources allocated for the start of the 2021 school year that could cause the closure of a class. They denounced the disparities between urban and rural high schools."
ESP5845,labor rights,,labor rights,"On 8 June 2021, UGT, CIG, and CCOO union delegates protested in Ferrol (A Coruna), demanding the readmission of 23 workers of Candido Hermida company."
DEU15991,labor rights,,public services,"On 1 May 2023, at the call of DGB, people, including MLPD affiliates, gathered in Cottbus (Brandenburg), to protest for workers rights on the occasion of International Worker's Day."
POL4504,policies & politics,women rights,women rights,"On 18 April 2022, activists of the Women's Strike movement gathered for a rally in Bielsko-Biala, protesting against the alleged politicization of courts by the government."
POL16,animal welfare,,animal welfare,"On 14 January 2020, activists gathered in Krakow for a rally, protesting against allegedly extensive hunting of wild boars in the country."
BGR2023,public services,,public services,"On 19 September 2021, residents of Aytos and Ruen protested and physically blocked a road in Aytos, Bulgaria, demanding that the government resolve the issue of heavy traffic in the city and construct a bypass road. The protest was prompted by a car crash that took 3 lives."
ITA26212,labor rights,,labor rights,"On 28 March 2025, in the morning, striking metalworkers staged a protest in front of the Confindustria headquarters in Mozzagrogna (Abruzzo). This was part of a nationwide mobilization, called by FIOM CGIL, FIM CISL and UILM (UIL), to demand the reopening of negotiations for a new national collective labor contract."
ESP11995,policies & politics,,policies & politics,"On 17 December 2022, around 150 people, called by several organizations, including ANC, the Assembly of Reprisals and Activists (ARA), Desobediencia Civil, Meridiana Resisteix, Moviment ProAmnistia and Som Antifeixistes, protested in Barcelona - L'Eixample (Cataluna) to demand amnesty for Catalan independence activists exiled abroad."
ESP1056,labor rights,,labor rights,"On 22 June 2020, workers of the forest fire prevention and extinction service protested in Santiago de Compostela (A Coruna) demanding a new labor collective agreement. Protesters complained about the lack of staff and the increase in overtime working hours. Representatives of General Union of Workers (UGT), Workers Commissions (CCOO), Galician Inter-Union Confederation (CIG) and Public Official's Independent Trade Union (CSIF) organized the protest"
DEU16149,ukraine-russia war,,policies & politics,"On 14 May 2023, 15 people peacefully protested at the Neuer Markt in Rostock against the war in Europe."
FRA4674,policies & politics,,pandemic,"On 28 November 2020, around 500 people demonstrated in Bourg-en-Bresse against a national security bill that they condemned as a violation of freedom of information, protesters' rights, and media rights, as well as the implementation of global surveillance of citizens."
BEL1514,policies & politics,,policies & politics,"On 26 October 2021, around 30 activists of PVDA-PTB staged a protest at Place Saint-Lambert in Liege to denounce the current energy price crisis in Belgium."
DEU23108,public services,education,health care,"On 13 November 2024, over 200 parents and children gathered in front of the town hall in Gerlingen (Baden-Wurttemberg), before a council meeting, to protest against rising daycare fees, citing unaffordable increases."
GBR6490,climate,,public services,"On 30 May 2023, 68 (across 4 events) Just Stop Oil protesters held a slow march and blocked the traffic on London Bridge in London - City of London to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Protesters also blocked three other bridges at the same time in London."
ITA15978,policies & politics,,education,"On 21 May 2022, hundreds of people, among them students and the Repubblika President, gathered at the 'Casina No mafia' in Capaci (Palermo, Sicilia) to commemorate Giovanni Falcone, a magistrate killed by the mafia, and demonstrate against organized crime."
SRB2558,policies & politics,,policies & politics,"On 2 March 2023, citizens and lawyers gathered in front of the court and the public prosecutor's office in Pozega, protesting against the transfer of two Belgrade Higher Prosecutor's Office deputies investigating corruption within the Serbian public electricity industry."
FRA29527,environment,,environment,"On 17 December 2023, at the call of Surfrider and Rame pour ta Planete, surfers gathered in Bayonne (Nouvelle-Aquitaine) to protest against the construction of a metal tower for surfing referees during the 2024 Paris Olympics in Teahupoo (French Polynesia), which they deemed damaging to corals."
ESP8792,immigration,,policies & politics,"On 19 February 2022, around 30 Moroccans protested in Ibiza (Balearic Islands), demanding the reopening of maritime and land borders."
GRC5329,women rights,unjust law enforcement,women rights,"On 4 April 2024, members of the wider anti-establishment spectrum rallied and then marched in central Thessaloniki, following the femicide of a young woman by her ex-partner outside the Agioi Anargyroi precinct moments after she had requested help by police, but was sent away. The protesters chanted slogans against the state and the police."
ITA3230,labor rights,,public services,"On 7 August 2020, employees of a company that provides customer services at the Milano Linate airport staged a protest at the facility, located in Segrate (Milano, Lombardia). Protesters displayed banners against air company Alitalia's decision to reduce the customer service provider's activities in that airport, putting at risk many jobs."
FRA3442,labor rights,,unjust law enforcement,"On 12 October 2020, police officers demonstrated in front of the police station in Beziers, at the call of the SGP union. They denounced the riot against the police station of Champigny-sur-Marne days before and denounced the violence and threats that they experience."
DEU19700,policies & politics,immigration,immigration,"On 27 January 2024, around 1,500 people took part in a protest in Bautzen (Sachsen) against right-wing extremism. The protest was prompted by concerns over a secret meeting between AfD representatives and other far-right activists, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against far-right ideas in various cities."
ITA5671,labor rights,health care,health care,"On 23 December 2020, health workers gathered outside the Local Health Authority (ASL 5) in La Spezia to demand the hiring of more personnel and a better management."
ESP6939,labor rights,,policies & politics,"On 25 September 2021, hundreds of interim civil servants staged a protest caravan in Madrid to complain about public institutions' overuse of temporary contracts. The protest was called under the slogan 'Fijeza ya' (Fixity Now)."
NLD2455,policies & politics,discrimination,education,"On 7 June 2023, an unknown number of people protested in front of the Belgian embassy in Den Haag (Zuid-Holland), against the judicial ruling in the Reuzegom case, which involved the death of a Black student in a hazing ritual organized by white students in Leuven, Belgium. Protesters found the punishment for the suspects too light. Among the protesters were representatives of the political parties BIJ1 and Haagse Stadspartij, and the action groups Belgie Kan Het and Zwart Manifest. The protesters also stressed the racist elements of the student's death and the ruling in the case."
DEU17059,climate,,climate,"On 13 September 2023, throughout the day, around 200 people, including Last Generation members, slowed down traffic and demonstrated in the Moabit district, at Europaplatz, and the main train station in Berlin - Mitte to call for climate justice as well as the end of fossil fuel industry. Police officers intervened physically to remove the activists who sat on the road."
ESP9621,health care,,health care,"On 24 March 2022, around 1,500 people protested in Morales de Toro (Zamora), demanding a primary health physician."
GBR6882,climate,,climate,"On 1 November 2023, over a dozen climate activists from Just Stop Oil held a slow march in Brighton (England) to denounce the government's lack of action on climate and call on the government to halt all new oil and gas licenses."
DEU1188,climate,,policies & politics,"On 24 April 2020, Fridays for Future supporters protested in Oranienburg for more climate action."
FRA35423,policies & politics,,policies & politics,"On 26 September 2024, around 20 pro-independence activists, including New Caledonians, some of whom waved Kanak flags, gathered outside the Court of Justice in Lyon (Auvergne-Rhone-Alpes) to express solidarity with CCAT and FLNKS leader Christian Tein, whom authorities claimed was responsible for the violence recorded during the ongoing period of unrest that started in May 2024 in New Caledonia."
FRA31340,policies & politics,,policies & politics,"On 17 February 2024, nearly 200 people, including members of the Senegalese Community, gathered in Montpellier (Occitanie) to protest against the postponement of the presidential election in Senegal by President Macky Sall."
DEU20620,policies & politics,immigration,immigration,"On 2 March 2024, at the call of 'Braunschweig's Alliance against the Right' (Braunschweiger Bundnis gegen Rechts), up to 2,000 people participated in a protest in Braunschweig (Niedersachsen) against right-wing extremism and criticized, among other things, the tightening of asylum laws. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed."
ITA23584,labor rights,,labor rights,"On 29 July 2024, at the call of CGIL, CISL and UIL, between more than 150 and 200 people staged a protest on Valentini Street in front of the Confindustria Toscana Nord headquarters in Prato (Toscana) against the cancellation by Confindustria of the territorial agreements which would deteriorate the workers' conditions."
SRB4560,policies & politics,public services,public services,"On 10 March 2025, students from Nis made a stop in Markovac during their protest march to Belgrade for the upcoming 15 March protest. Together with local residents and schoolchildren, they observed 15 minutes of silence as part of the 'Serbia, Stop' campaign to honor the victims of the Novi Sad train station collapse and call for accountability for this tragic event."
FRA9142,labor rights,culture,labor rights,"On 16 May 2021, around 70 of people, mostly yellow vest demonstrators, temporary workers and employees of the entertainment and cultural industries from the 'Occupy Theaters' movement, protested and opened the tollgate in Ancenis so that people could pass for free to protest against unemployment benefit reforms."
BIH1188,environment,,environment,"On 11 October 2024, a large number of citizens, organized by the informal group 'Let's stop unlawful changes into the Spatial plan of Mostar' ('Zaustavimo nezakonite izmene Prostornog plana u Mostaru') held a protest in Mostar's settlement of Miljkovici against the construction of a solar plant on a hill above their houses in the settlements Miljkovici and Kozice."
ITA11143,immigration,,immigration,"On 21 September 2021, a 'crowd', including a CONFCOMMERCIO representative and the town's mayor, gathered in Municipio square in Ventimiglia (Imperia, Liguria) to protest against the lack of security allegedly created by the migration crisis in the city and denounce the economic consequences entailed."
DEU7410,policies & politics,,environment,"On 3 July 2021, people, including representatives of Christian groups, protested in Buchel against nuclear weapons and the storage of nuclear weapons at the US military base in Buchel."
DNK256,labor rights,,policies & politics,"On 30 June 2020, nearly 50 homeless and socially disadvantaged people as well as shelter volunteers demonstrated against the firing of a shelter's department head in Esbjerg."
NOR791,labor rights,policies & politics,animal welfare,"On 1 May 2022, activists from Amnesty International marched in Tromso to mark the Labour Day and to raise awareness over the human rights violations during the preparation for 2022 Qatar World Cup."
BGR2383,public services,,public services,"On 11 May 2022, residents of Sredets protested due to the bad state of the roads in the area, in particular two of the main bridges on the road leading to Yambol which have remained damaged over a long period of time and are close to collapsing."
ESP3367,environment,,public services,"On 26 December 2020, around 400 citizens, called by the Duranguesado Air Quality Platform, marched from Durango until Iurreta (Bizkaia) to protest over the low air quality."
FRA27392,public services,,public services,"On 26 August 2023, around 50 people gathered, at the call of Sauvons Nos Gares, in front of the train station in Le Mans (Pays de la Loire) to protest against the closure of two train stops in Crisse and Rouesse-Vasse (Pays de la Loire)."
MDA1980,policies & politics,,policies & politics,"On 27 March 2025, supporters of the Bashkan (Governor) of Gagauzia and the Shor party protested in Ceadir-Lunga in support of the Bashkan, who had recently been detained at Chisinau Airport on charges of illegally financing an election campaign.. The protest was led by the deputy to the Governor (Bashkan) of Gagauzia."
