event_id_cnty,event_date,year,country,notes,note_hash
FRA15702,2022-02-26,2022,France,"On 26 February 2022, at the call of the CGT, health workers at EHPAD centre demonstrated in Grainville-sur-Oron to denounce the lack of resources.",5a019c235b3645d3a2e26195eaadfb93e96eae485d6d7a323bf753676d30e65b
ITA29679,2026-05-19,2026,Italy,"On 19 May 2026, residents, activists, MPs Laura Boldrini (PD), Marianna Madia (IV), Stefania Ascari (M5S), Senators Valeria Valente (PD), Cecilia D'Elia (PD), Ilaria Cucchi (SI), municipal councilors elected with the PD, the M5S, and FdI gathered in the Campidoglio Square in Roma - City Center (Lazio) to protest the forced removal, ordered by the Juvenile Court, of a minor who was subsequently entrusted to her father, who was indicted for aggravated assault. Protesters demanded that the child be reunited with her mother instead.",ce82d83270a0e9f51c7282e1d7ad82af404e781a9b091884b72857bc306ff892
FRA18603,2022-09-12,2022,France,"Around 12 September 2022 (as reported), students of the Nimes Conservatory gathered for a protest in front of the theater in Nimes, to demand more study spaces and rooms.",fe00a30d5cd815460ea9534403999778a3ed41131c6ce5174364962868f3b5a3
ROU2919,2025-01-08,2025,Romania,"On 8 January 2025, tens of policemen protested in front of Police Station Four in Cluj-Napoca against the 'little train' ordinance. Officers argued that the ordinance removes additional pay for work performed on weekends and public holidays, resulting in income reductions of up to 2,000 lei in some cases, particularly for those with many years of service.",fe820931799b62c86e0b44425ad00fc904e4a2f61f01fd72dc1eee968b8c19c6
ITA2674,2020-07-02,2020,Italy,"On 2 July 2020, prison police staged a protest in Rome - City Center (Roma, Lazio) to demand urgent measures to support the prison system that is about to collapse and support prison police activities. Protesters gathered at the call of the Union of Prison Police Unions.",c081ab7d1e2ec72d1827ee61b8c31a878fe7fac77444b1fa2b4e2bad9c6296ac
SRB6363,2025-10-11,2025,Serbia,"On 11 October 2025, SNS supporters gathered in Mokrin to march in support of Serbs in Kosovo, backing the government and opposing student-led protests and blockades.",978445dd2754a8aa8a023e8a6fe80840839fd8d6951ca8f364e6db96561f6a77
ITA25312,2024-12-09,2024,Italy,"On 9 December 2024, about 300 students from the Bergese Rosselli Institute protested in Sestri Ponente (Liguria) against inadequate heating in classrooms, restrictions on student movement, and disruptions caused by a nearby construction site affecting the entire school. They raised concerns about cold classrooms, collective punishment for smoking violations, safety issues such as collapsing ceilings and lack of bathroom doors, and noise from ongoing renovations, arguing it sometimes disrupted lessons.",04888ba6160de60a0a4ab047165a89613e0a0c1978fe719a1c65ebabb07abff8
ITA24825,2024-10-26,2024,Italy,"On 26 October 2024, at the call of Europe for Peace, Italian Network for Peace and Disarmament and local associations, around 5,000 people marched from Massari Square to Prefettura Square in Bari (Puglia) to advocate for peace and a ceasefire in all conflicts. CGIL, ANPI, students, SI, AVS, M5S, a city councilor (PD) and other associations took part in the event.",47a3d36203f404473a177242d0f33770bf3533daeebd4d3cf6f5a9aeca76fb4d
FRA18941,2022-09-27,2022,France,"On 27 September 2022, around 60 Groupama workers, including Christians, gathered in front of the site of the company in Pau at the call of CFDT, CFE CGC, SNEEMA, CGT, FO, CFTC, and UNSA, calling for an increase in their salaries to face the inflation.",db5faf6723f10f52a99e56f1e70f5eeebbd46908efef857489625695debfca5e
FRA5770,2021-01-16,2021,France,"On 16 January 2021, a handful of parents of students gathered in La Roche-sur-Yon. They denounced the bill on the reinforcement of laicity according to which school will become compulsory from the age of three until the age of sixteen, and home-schooling will no longer be permitted by 2021.",3b14901e3bfcd0c89bd24ab588d37c2d77cf4dcd4a55fb02435fd3336c715422
DEU15308,2023-03-03,2023,Germany,"On 3 March 2023, parents gathered in Am Mellensee to symbolically hand over their claims to the school administration, protesting against the planned closure of a kindergarten in the town.",c7b58ffdfe50a0a555b16f9352807570eec916754b6033f0ad55bc5858c780af
SWE3122,2022-09-29,2022,Sweden,"On 29 September 2022, demonstrators, including members of the Swedish-Iranian community, demonstrated in Stockholm to show support and solidarity with Iranian protesters and to denounce the death of a 22-year-old Kurdish woman in police custody in Iran. Activists from the Socialist Justice Party took part in the event, among others.",851c404b3b0115e3c3d00ec4174a18aa0f42a284bffac05fb2607dee8018a282
ITA15287,2022-03-21,2022,Italy,"On 21 March 2022, over 200 people gathered in Pieve di Cadore (Belluno, Veneto) at the call of Libera on the occasion of the 'Day of remembrance and commitment in memory of the innocent victims of mafias'. They demonstrated against organized crime. Students and the Prefect took part in the demonstration.",d6e455ab2c1e4c7ea535ea09b20ea56343e1aeadc930028f1983b00a72587ebe
FRA12596,2021-10-16,2021,France,"On 16 October 2021, around 20 members of the Yellow Vests movement gathered at a roundabout and slowed traffic down in La Roche-sur-Yon. They denounced the rise of gas prices, as part of a national day of protests.",c898a4286292bd0ebb6f41516c088588c672a5cf2e381f2797d0e49cfb586347
MNE1210,2023-08-18,2023,Montenegro,"On 18 August 2023, Rehabilitation Institute workers blocked the road in Igalo, protesting against the Institute's bankruptcy and losing their jobs.",bca7a662c0dedd28ddb389490c5d50c80cff06fb9fd7badd12ee1ec1af2c3488
FRA44600,2026-02-01,2026,France,"Around 1 February 2026 (as reported), supporters, anti-racist activists, and relatives gathered in Dunkerque (Hauts-de-France) to protest in support of the family of Djamel Bendjaballah, murdered by his wife's former partner. Protesters denounced what they describe as a racist, premeditated killing, and condemned the justice system's refusal to recognize the racist motive and prior institutional failures.",3f4c2937dab378723b6291a53845a84f71b830873d56e6b2ca3f28b7674c2079
MKD1277,2024-11-16,2024,North Macedonia,"On 16 November 2024, residents of the Kisela Voda neighborhood in Skopje came out for a peaceful protest at the intersection between Narodni Heroi and Boris Trajkovski streets due to unresolved infrastructure problems and legal violations by the surrounding construction sites, which, according to the residents, significantly threaten the safety of pedestrians make it difficult for them to access their homes.",466a0926900aaf5ea13ba67c688112fbab32f6d9b7c1e6471676f053de26de4c
DEU20420,2024-02-24,2024,Germany,"On 24 February 2024, several hundred people staged a protest in Neubrandenburg (Mecklenburg-Vorpommern) against right-wing extremism and xenophobia. Bundesrat President Manuela Schwesig (SPD) started the event with a speech. The protest was organized following reports about a secret meeting between AfD members and far-right activists in Potsdam in November 2023, during which remigration plans were discussed.",b09819cf1fdb3b78f6ce43c365d7e1661ba7ff60f883968afecec78fe2ba9e8d
HUN21,2020-02-16,2020,Hungary,"On 16 February 2020, several hundred people, mostly Romani Hungarians, protested in Miskolc of the Borsod-Abauj-Zemplen county against the depicting of Roma people as criminals by far-right groups. The Miskolc branch of the Romani Self-Government organized the protest.",11361ad95758733abeb0d741ccbac1185080b7af315bfa1091cde92e5379ddc5
ITA17336,2022-10-12,2022,Italy,"Around 12 October 2022 (as reported), at the call of USB, people gathered outside the town hall in Taranto (Taranto, Puglia) to protest against the increase in energy prices.",54ce7aa05cbec81573a43cd814728f78c3befde09eadd69b9fd19d83bf4a47a2
POL3750,2021-12-19,2021,Poland,"On 19 December 2021, several hundred activists gathered for a rally in Tarnow, protesting against a new law on media ownership, which they perceive as a harmful pressure of the government against independent media.",ea5a514a71b7b5fd0590b736449232fd8a26b1a4a0fc3f47827ef6aa611f8264
ESP6839,2021-09-19,2021,Spain,"On 19 September 2021, citizens protested in Ourense (Galicia) against electricity price increases. The CIG trade union called the protest.",83bb6ba01e90eb8d3b9f870e2515a0be692e18abfe7dbe1d70a68b1073337e33
FRA44049,2026-01-03,2026,France,"On 3 January 2026, around 100 people, including members of the local civil society group France-South America Association (Association France-Amerique Latine - AFAL) and Chilean nationals, spontaneously gathered at Place du Marche in Poitiers (Nouvelle-Aquitaine) to denounce the military intervention the United States conducted in Venezuela. The event was part of a wider national mobilization opposing US military intervention in Venezuela, which resulted in the abduction of President Nicolas Maduro and his wife on 3 January 2026, and aimed to demonstrate solidarity with the civilian population.",0bb532a65114c36b263dacdc579cb2fdafbcb833887591c03d4b19ac80b166ee
ITA26777,2025-05-17,2025,Italy,"On 17 May 2025, over 200 people, including Senegalese relatives, gathered in Rimini (Emilia-Romagna) to demand the immediate release of Louis Dassilva, a Senegalese man under investigation for the July 2024 murder of Pierina Paganelli. Demonstrators marched through the city center holding banners and flyers. Participants called for justice and questioned the grounds for his continued detention.",dc42221e954f31f5313dff176da27af3ed52b963d68f18130d822d3bd3b012ea
FIN100,2020-06-15,2020,Finland,"On 15 June 2020, Kurdish protesters from NCDK demonstrated outside the European Commission office in Helsinki, protesting against Turkey's recent bombings in northern Iraq.",d812d5c597c728a902523cf61b38669047f3ad22fff47fd09c8b9a91480e2e71
ROU1928,2022-06-15,2022,Romania,"On 15 June 2022, several drivers protested at an OMV petrol station in Sibiu, condemning the high fuel prices and intentionally slowing access to the station.",5774f8a61b24e2cdf442941b23feeb990897316b95feb49085994a30ed628fb0
ITA72,2020-01-09,2020,Italy,"On 9 January 2020, highschool students staged a protest outside their school's main building in Salerno (Salerno, Campania) to complain about the building's infrastructural problems.",3ca942ad091cfd3bbbabba8f1b6ae2e8b82156238e6ebae21b00365948b4fc7e
ROU1671,2021-06-11,2021,Romania,"On 11 June 2021, employees of a shipyard protested outside the economy ministry in Bucharest, condemning the announced firing of more than 200 employees.",2b18228a9563de7706c9fa3dcf5fb967104363ed5c40bf5d70dd374d0d35ce49
FIN412,2021-08-14,2021,Finland,"On 14 August 2021, around 100 Extinction Rebellion activists staged a street blockade in central Tampere, demanding climate action. Police asked protesters to leave and moved them away by force. 38 people were detained for not following orders.",adba96f8b4cd3932f7f539501d54207ce91f1bbeb408a7801195b0cc4ab6a716
ALB49,2018-04-20,2018,Albania,"On Apr. 20, 2018: Citizens and members of the opposition democrat party threw smoke grenades and fireworks at the Shkodra's Appeal Court in Shkoder, demanding the release of the 11 demonstrators arrested for the Nation's Road riot.",6f473d27098057f183039d91b3d4edbdbee969512b22769752b166eb9b139c2c
ESP17492,2024-06-17,2024,Spain,"On 17 June 2024, at the call of ELA, LAB, CCOO and National Police Union (Sindicato Abertzale de la Ertzaintza, ESAN), Independent Union of the Basque Police (Euskal Poliziaren sindikatu independentea, ERNE), around 200 municipal police officers protested in Bilbao (Pais Vasco) against planned municipal cuts to their vacations and release schedules.",3eb8d2e50617dd19c444e90ac1989020ef682832e0c8f88783316230897ae820
SWE2921,2022-08-16,2022,Sweden,"On 16 August 2022, Extinction Rebellion activists staged a protest performance in front of the Swedish Transport Administration office in Solna to oppose the current development policy of the government agency, arguing that they contribute to the climate crisis.",58ada375bd23bb13dcac00c9b957a79d6c70377df14bd69010acf9534f8a75ca
BIH60,2018-03-31,2018,Bosnia and Herzegovina,"On 31 March 2018, 2018 in Banja Luka, Bosnia and Herzegovina, approximately 200 citizens held protest against unresolved death of youngster David Dragicevic.",0705ec14b8abed5f722240ca4db6c7b7aabd0825ec1f301645a674440e7e9ff6
DEU16932,2023-08-30,2023,Germany,"On 30 August 2023, over 80 people, mostly members of Last Generation, demonstrated and slowed traffic down from the Isartor to the Bavarian State Parliament in Munchen (Bayern) to call for climate protection. 11 sat down on the street and were carried away by police officers. Around 10 people threw paintballs at the building of the Bavarian State Parliament.",a3baf793a229cd36db16950104795d3a282fe95f631acd01937ed56d92b2cf7c
POL7168,2023-10-07,2023,Poland,"On 7 October 2023, activists, including members of the Women's Strike movement, gathered for a rally in Krakow, calling for more women's' participation in politics and the public life.",b130c72a6268ee7a604c9b5b5a824203945069ad111143415806d5ae023cf0c9
BGR2542,2022-07-29,2022,Bulgaria,"On 29 July 2022, road construction workers protested in Veliko Tarnovo, blocking the Ruse-Svilengrad road, as they demand that their unpaid salaries for completed construction work be paid. Three-day protests have been organized nationwide and the protesters have announced a wider blockade of the road system in the upcoming months.",627fce70554fb0cab47d3aad4a6c632ff16e9b33fb4663518a8f8a503d5182e6
DEU16009,2023-05-13,2023,Germany,"On 13 May 2023, 4 activists peacefully protested at the zoo in Duisburg against dolphin exploitation and abuse.",d3d872916f43a48d06c94d9e1683493725253d27c26ee0fd2e181ef495b8735f
FRA35269,2024-09-09,2024,France,"On 9 September 2024, students' parents blocked access to the Georges-Brassens school in Nezignan-l'Eveque (Occitanie) to protest against the announced closure of a class.",367a5688bd08b547b18e09f2e7b7b845f34ddc769bef62ee994710c8a75ba8d8
FRA6299,2021-02-10,2021,France,"On 10 February 2021, a few hundred parents of students, accompanied by their children, but also grandparents, residents, and elected officials and elected officials protested in Neussargues en Pinatelle against the elimination of a job position at the school.",44b3accc412527e3b9d2538643813beede58237ab23386435126d4aa331f8085
NOR2502,2026-01-21,2026,Norway,"On 21 January 2026, people demonstrated in Oslo to protest an offensive led by the Syrian military against Kurdish-held areas, and to express solidarity with Rojava and Kurdish civilians.",2abb9635fe98edcf2ec02f518c4952b0757ff276aab0a8dd7d1a5db336057bcf
DEU25521,2025-07-19,2025,Germany,"On 19 July 2025, several hundred people staged a protest, marching from the central station to the Imam-Ali-Mosque, also known as the Blue Mosque, in Hamburg - Hamburg-Nord (Hamburg) demanding its reopening, which had been closed by federal authorities in 2024. Meanwhile, people gathered in two small counter-protests near the Imam-Ali-Mosque, opposing its reopening due to the mosque's ties to the Islamic Centre Hamburg, which had been banned for promoting the ideology of Iran's Islamic Revolution.",ee5c035af691a34d350463291a0966fd5163ca4fffad0b83e4ab3567012d4051
ITA6529,2021-02-11,2021,Italy,"On 11 February 2021, 150 Air Italy former employees affiliated with COBAS, Associazione Piloti, USB and ANPAV took part in a sit-in outside the former Air Italy headquarters in Olbia (Sassari, Sardegna) to demand public authorities to acknowledge their collective fate and to ensure the renewal of the redundancy fund for most of the employees.",d6a8e775b8f909c96d4a70f95e0218d2a75629acdcc86c536a5bdb49b92d6c55
FRA14430,2022-01-14,2022,France,"On 14 January 2022, workers at cash-in-transit company Loomis burned wooden pallets in front of the siege in Talaudiere area in Saint-Etienne to demand an increase to their salaries.",08401142fff566def9faedc7090aa2544246c28d452ca2ffcf4d72e3f6ba1dd4
FRA38144,2025-03-07,2025,France,"On 7 March 2025, around 80 people, including LFI, LE, and Pd! affiliates and students, gathered outside the Espace Dewailly in Amiens (Hauts-de-France) to protest against the launch of the RN municipal campaign in town.",c246ec69ab67b03a88bf7eac0f08632c150f6a1bf19889643f3cd9ddd17a5ba5
ESP14239,2023-09-12,2023,Spain,"On 12 September 2023, UGT members held a protest at the doors of their headquarters in Zaragoza (Zaragoza) to denounce the rise in fatal workplace accidents, which is 21 people since the beginning of the year.",d81d5fdaa3b6d88ddf722371f98174c9e8585ab2ba1bdecc8d809790df52a11b
AUT1402,2023-03-25,2023,Austria,"On 25 March 2023, Extinction Rebellion activists gathered at the Salztorbrucke in Vienna - Inner City, to color part of the river green and block the bridge to protest against a gas conference taking place in Vienna.",6217876eed8c8f90036a649629b3bc702d3f92926ecbf5bf66fcde2de3d6188c
BEL406,2020-06-20,2020,Belgium,"On 20 June 2020, an unknown number of workers staged a protest at the Colruyt supermarket in Chenee in the context of a strike against the lack of reciprocity from the management for the efforts by the personnel to ensure maximum safety in the supermarkets.",c74743db8f0ba6149a7d5dd708548d41bcac8ec17eeb3af48357478cb6226edc
BEL2205,2022-12-12,2022,Belgium,"Around 12 December 2022 (as reported), around 150 police officers staged a protest outside the city hall in Kortrijk to denounce the Federal Minister of Justice's failure to comply with a protocol that was agreed upon between the government and the police unions. Kortrijk is the residence city of the Minister.",9512f44dc748f733aac68853fa88add1cdd6c83600db4ea0af80b2576fa4e7a1
HUN800,2023-02-08,2023,Hungary,"On 8 February 2023, DK members, including a DK local councilor, protested outside a building where the Orban government held a session in Sopron against the sale of local government property.",bdab4965b7c06661cd186e9961940de2eaae9782e621783c6dbf4d437083ac99
DEU7535,2021-07-16,2021,Germany,"On 16 July 2021, 15 people gathered in Muhldorf am Inn at a vaccination center trying to prevent parents with their children to get their children vaccinated.",635d40d26547129d5e922504a662b222043852f10a5301395ca58f6e625e1053
ITA2034,2020-06-06,2020,Italy,"On 6 June 2020, the Workers' Communist Party and the Front of the Communist Youth demonstrated in Rome - City Center (Roma, Lazio) to ask an extension of the current ban on redundancies and the establishment of an extraordinary asset tax. Around 1000 people participated. Media reported that the same protest occurred in 15 Italian cities.",6460383843a03bb322fc3b4ecdb3fd5d422bd95e14c93796de357e379b7e7ce3
ITA10110,2021-07-13,2021,Italy,"On 13 July 2021, people gathered outside the Umbria Region Council headquarters in Perugia to protest against the financial cuts to local public transport. Filt CGIL, CISL, and Faisa CISAL took part in the demonstration.",f504e08e7bbd9432b6971ee13abeec968dc7ca28f46a1506bd653b0f69b9c8ca
BEL661,2020-10-13,2020,Belgium,"On 13 October 2020, around 30 workers staged a protest in front of the Megaworld facility in Genk to demand more clarity on the store chain's survival.",0a3add378bf362f0f7919aa924ff4e033173f5f7448053ab85822cb21c3b356c
ESP6925,2021-10-01,2021,Spain,"On 1 October 2021, citizens called by the Committees for the Defence of the Republic (CDR) gathered in Tarragona (Catalonia) to commemorate the Catalan independence referendum held in 2017.",e3544b2e32c43886963a660b84fb07b1d5f6d84f3f23f46b398ddfe724c53234
MKD1463,2026-01-23,2026,North Macedonia,"On 23 January 2026, former employees of US companies working in Iraq and Afghanistan protested in front of the public revenue office in Kumanovo. They demanded recognition of tax documents, an end to double taxation, and fair treatment under the law.",2283cbd463139c3869d5b9062c514422b298ac1061b86ed5d1705645097cbcbe
FRA19434,2022-10-18,2022,France,"On 18 October 2022, around 1,000 people, including Yellow Vests, held a protest in Nancy against the reform of professional high schools, inflation, and called for the reevaluation of salaries and a better distribution of wealth. The event was part of a national and cross-sector day of strike and protest called by the CGT, FO, SUD, and FSU unions, as well as the FIDL, MNL, UNEF, and High School Voice student organizations, to demand salary increases amid inflation and defend the right to strike.",460152bd485ca73c256e6490a043453bb57c8448dee209500453c675b0b5f4b0
ITA24456,2023-05-12,2023,Italy,"On 12 May 2023, at the call of Agerola Forum, people protested during the Giro d'Italia in Ravello (Salerno, Campania) to ask for more safety and road maintenance work. Some weeks before, a 29-year-old boy Nicola Fusco fell into an embankment while driving a tourist bus. Demonstrators showed their backs to the cyclists as a sign of protest.",8dfc8b02eff96b47301ec7577a3320d77dbed8d67d3e970fa98fa37e92d156cb
FRA6404,2021-02-14,2021,France,"On 14 February 2021, anti-fur demonstrators gathered in Bordeaux at the call of One Voice. They called for the closing of the seven remaining fur farms in France and the abolition of the production and exportation of fur.",870f882cca24ced2be3e97986743d7b84acfd563549f835f520262b261fcc544
DEU14276,2022-12-20,2022,Germany,"On 20 December 2022, around 20 people, at the call of IL, demonstrated in front of the main station in Hamburg - Hamburg-Mitte (Hamburg) against controls (checks) of public transport tickets.",668c3eac1e0b065257db1427e57cc93feda695687301f2497d5f3af540941d67
FIN211,2020-11-09,2020,Finland,"On 9 November 2020, hundreds of students from Lieto school marched from their school to the town hall in Lieto in protest against poor air quality at the school.",2afa3c0953a492aee344d6f0774826345c7c575a7469de94a19db88eeb4efd77
ITA14288,2022-02-23,2022,Italy,"On 23 February 2022, striking haulers gathered for a protest in Palermo (Palermo, Sicilia). They denounced the increase in oil and gas prices.",2e64561ee6cd4085495f5d25807cd8db4c58f1375c59815960281d1d206a976e
FRA16112,2022-03-18,2022,France,"On 18 March 2022, fishers demonstrated at the port of Les Sables-d'Olonne. They denounced the raise in the gas price and the consequences on their profession and demanded that the government grants them an increased allowance to compensate this raise.",e21d983057c754ff37a87a3cf974b05b00c1acc4b06b466c8ca5bbb126e4f431
DNK1353,2021-10-27,2021,Denmark,"On 27 October 2021, around 150 workers and union activists from 3F and BJMF unions, held a blockade of a construction site in Carlsberg, Copenhagen to oppose the German contractor who fired 21 carpenters. Union activists accused the contractor of social dumping and violating the collective bargaining agreement.",c285258d907713741133fb690f4532fa35f42dc1e80524a14c17b9610d0959d9
ESP8436,2022-01-29,2022,Spain,"On 29 January 2022, hundreds of citizens protested in Barakaldo against the courts' decision to release a 53-year-old man responsible for an attack against a woman working in her bar. The judge decided to release the attacker after a medical report stated that he had a psychotic break.",6b0d02dcc940301a91ad4acdaf6744781bc16409ba3d882e25659164a7c8be71
FRA8597,2021-05-01,2021,France,"On 1 May 2021, around 800 persons, including members of the SNES-FSU union, demonstrated in Carmaux at the call of the CGT and FSU unions on the occasion of Labour Day. They called for social justice.",32e6892d75995a84ef06b5af4dec73f50edf4f6713b0bb2e2d14be2b5a2ab29b
ESP5597,2021-05-22,2021,Spain,"On 22 May 2021, around 2000 interim civil servants protested in Madrid - Salamanca (Madrid), marching from Paseo del Prado towards Plaza de Colon to complain about the overuse of temporary contracts by public institutions. The protest was called nationwide by the Platform of Temporary Public Workers in Fraud of Law (MI15F) under the slogan 'Fijeza ya' (Fixity Now).",41990d878a3804e6e291b9f3d219e5e72b3c045c5841c2418f3baae17332e484
NLD3487,2025-01-06,2025,Netherlands,"On 6 January 2025, around fifteen activists from Extinction Rebellion Achterhoek, joined by participants from Nijmegen, held a peaceful 'die-in' demonstration on Simonsplein in Doetinchem (Gelderland), during the monthly air-raid siren, to raise awareness about rising sea levels and the climate crisis.",9faf583a4330dcb5dd42cbf39c98ae7a875abb1c380b22f81b8e84e66a3ccc3b
DEU6617,2021-05-08,2021,Germany,"On 8 May 2021, around 19 members of The Right protested in Einbeck with the slogan 'Against a Guilt Cult - Investigation Instead of Repentance' against Germany's 'guilt culture' with respect to its role in the Second World War. Around 17 people gathered spontaneously for a counterprotest.",b110102878b6a28430c4b158367962741453e941b14718cfce708fe2e0af4cb7
FRA20796,2022-12-27,2022,France,"On 27 December 2022, around 200 people, including members of the Kurdish community, demonstrated in Lille to denounce the killing of 3 Kurdish people in Paris on 23 December by a 69-year-old man with racist motives and the recent aggression of a Kurdish hairdresser in Roubaix.",8a6d3266920059727fa09ef94fdddffa0ae8bf4d8abca1d3767f0e6d9f88d2ae
DEU19836,2024-01-27,2024,Germany,"On 27 January 2024, people took part in a protest in Siegen (Nordrhein-Westfalen) against right-wing extremism. The protest was prompted by concerns over a secret meeting between AfD representatives and other far-right activists, discussing mass deportations of individuals with German citizenship and migrant background, leading to a heightened awareness and mobilization against far-right ideas in various cities.",3eda58b70f23cd9f3c3fa267d8ceb8728ed31208d8df1d68bb4cafb308f899ac
HUN429,2022-04-01,2022,Hungary,"On 1 April 2022, Fridays for Future activists protested in Budapest - V, demanding climate action.",68aa1a878e4cac4d61d04f0b16fce604923d588e5dec51ac62bf879e03c62948
GRC5882,2025-01-26,2025,Greece,"On 26 January 2025, following leaked cell phone calls of the last moments of the victims of the Tempe rail disaster, protesters rallied in Chios at the call of the association of the victims' families. The protesters demanded justice and accused the government of a cover-up. This was part of a large mobilization in more than 150 nationwide and international locations with the slogan 'I Have No Oxygen', the last words of one of the victims.",eaf0fdceb495be0bda8d7b7817f41cfdc339872e905d9092519151423852d2e0
ESP9789,2022-04-03,2022,Spain,"On 3 April 2022, hundreds of people and retirees, called by the O Novo Normal digital community, held a protest at the Pontevedra square of A Coruna (Galicia), to decry the banking sector's treatment of customers, specifically older people, who claimed to be excluded. Protesters also decried what they considered abusive fees and charges. The protest was supported by the BNG.",e2a39ce308ecd9c8bba0f74d1d59d974fdf7f5c58229cf0d16ed17710166d78b
DEU7617,2021-07-25,2021,Germany,"Around 25 July 2021, around 450 people, including school students, protested in Oberfahlheim against the closure of the local primary school.",c6a28e2f6e75cbd12b1613666a36b3139c8cb70559932f873800c1fbb5d4a181
ITA3111,2020-07-28,2020,Italy,"On 28 July 2020, eleven 'Industrie Meccaniche Siciliane' workers gathered outside the Town Hall in Priolo Gargallo (Siracusa, Sicilia) to protest against a court's verdict that doesn't recognize them the rights and benefits after being exposed to asbestos. They started the protest on 6 July 2020, and they have been gathering outside the Town Hall every day since then.",5a6c5346d7a767d2f87c2a801fa50d88a2e13498363c68b9fadc60fce74afe8e
ITA1989,2020-06-05,2020,Italy,"On 5 June 2020, around 100 people, including a group of Brothers of Italy members, staged a protest in Siculiana (Agrigento, Sicily) to demand the closure of a migrant reception center located in their town.",9f093afc720cfb7348c2d3f2ff03e68ad848c1c1027b9805b4bc4b52ddaa0c21
GRC4553,2023-09-14,2023,Greece,"On 14 September 2023, members of the Federation of Parents' Associations of Central Macedonia rallied outside the Ministry of Macedonia and Thrace in Thessaloniki to protest over safety issues regarding the transport of their children to school.",d60d92c365cc93a27956d9eea00eaf490333316af2ca748b3f5808eb16940b6b
